#1	
double tab1(192,2)	
0	12.45
3600	12.45
7200	12.45
10800	12.45
14400	12.45
18000	12.45
21600	12.45
25200	12.45
28800	12.45
32400	12.45
36000	12.45
39600	12.45
43200	12.45
46800	12.45
50400	12.45
54000	12.45
57600	12.45
61200	12.45
64800	12.45
68400	12.45
72000	12.45
75600	12.45
79200	12.45
82800	12.45
86400	13.55
90000	13.55
93600	13.55
97200	13.55
100800	13.55
104400	13.55
108000	13.55
111600	13.55
115200	13.55
118800	13.55
122400	13.55
126000	13.55
129600	13.55
133200	13.55
136800	13.55
140400	13.55
144000	13.55
147600	13.55
151200	13.55
154800	13.55
158400	13.55
162000	13.55
165600	13.55
169200	13.55
172800	14.98
176400	14.98
180000	14.98
183600	14.98
187200	14.98
190800	14.98
194400	14.98
198000	14.98
201600	14.98
205200	14.98
208800	14.98
212400	14.98
216000	14.98
219600	14.98
223200	14.98
226800	14.98
230400	14.98
234000	14.98
237600	14.98
241200	14.98
244800	14.98
248400	14.98
252000	14.98
255600	14.98
259200	26.77
262800	26.77
266400	26.77
270000	26.77
273600	26.77
277200	26.77
280800	26.77
284400	26.77
288000	26.77
291600	26.77
295200	26.77
298800	26.77
302400	26.77
306000	26.77
309600	26.77
313200	26.77
316800	26.77
320400	26.77
324000	26.77
327600	26.77
331200	26.77
334800	26.77
338400	26.77
342000	26.77
345600	24.35
349200	24.35
352800	24.35
356400	24.35
360000	24.35
363600	24.35
367200	24.35
370800	24.35
374400	24.35
378000	24.35
381600	24.35
385200	24.35
388800	24.35
392400	24.35
396000	24.35
399600	24.35
403200	24.35
406800	24.35
410400	24.35
414000	24.35
417600	24.35
421200	24.35
424800	24.35
428400	24.35
432000	21.49
435600	21.49
439200	21.49
442800	21.49
446400	21.49
450000	21.49
453600	21.49
457200	21.49
460800	21.49
464400	21.49
468000	21.49
471600	21.49
475200	21.49
478800	21.49
482400	21.49
486000	21.49
489600	21.49
493200	21.49
496800	21.49
500400	21.49
504000	21.49
507600	21.49
511200	21.49
514800	21.49
518400	12.68
522000	12.68
525600	12.68
529200	12.68
532800	12.68
536400	12.68
540000	12.68
543600	12.68
547200	12.68
550800	12.68
554400	12.68
558000	12.68
561600	12.68
565200	12.68
568800	12.68
572400	12.68
576000	12.68
579600	12.68
583200	12.68
586800	12.68
590400	12.68
594000	12.68
597600	12.68
601200	12.68
604800	13.40
608400	13.40
612000	13.40
615600	13.40
619200	13.40
622800	13.40
626400	13.40
630000	13.40
633600	13.40
637200	13.40
640800	13.40
644400	13.40
648000	13.40
651600	13.40
655200	13.40
658800	13.40
662400	13.40
666000	13.40
669600	13.40
673200	13.40
676800	13.40
680400	13.40
684000	13.40
687600	13.40
