#1	
double tab1(192,2)	
0	11.8
3600	11.9
7200	12.3
10800	12.8
14400	13.1
18000	13.8
21600	14
25200	12.4
28800	11.8
32400	11.7
36000	12.1
39600	12.8
43200	13.1
46800	13.6
50400	13.6
54000	13.2
57600	12.8
61200	12.2
64800	12
68400	11.9
72000	11.7
75600	11.5
79200	11.4
82800	11.3
86400	13.6
90000	13.8
93600	13.8
97200	13.7
100800	13.7
104400	14
108000	14.2
111600	14.1
115200	14.3
118800	14.4
122400	14.3
126000	14.4
129600	14.1
133200	14.7
136800	14.9
140400	14.9
144000	14.4
147600	14.2
151200	13.2
154800	12.2
158400	11.9
162000	11.5
165600	10.8
169200	10.1
172800	10.3
176400	10.5
180000	10
183600	10.1
187200	9.9
190800	9.9
194400	10.3
198000	11.1
201600	13
205200	14.3
208800	16.5
212400	15.3
216000	17.5
219600	18.5
223200	17.7
226800	19
230400	19.6
234000	19.4
237600	19.6
241200	19.1
244800	18.5
248400	17.2
252000	16.2
255600	16.1
259200	21.6
262800	22
266400	21.6
270000	21
273600	20.5
277200	20
280800	19.9
284400	21.3
288000	22.8
291600	24.9
295200	27.2
298800	29.4
302400	28.3
306000	27.8
309600	29.2
313200	29
316800	33.2
320400	33.7
324000	33.6
327600	32.8
331200	32.2
334800	31.4
338400	29.9
342000	29.2
345600	23.6
349200	23.7
352800	23.4
356400	23.5
360000	23.3
363600	23
367200	23
370800	22.2
374400	23.1
378000	23.7
381600	24.2
385200	25.1
388800	25.4
392400	22.7
396000	25.1
399600	26.7
403200	26.8
406800	26.9
410400	26.5
414000	25.8
417600	24.8
421200	24
424800	24
428400	23.9
432000	21.1
435600	21
439200	20.9
442800	20.9
446400	20.8
450000	20.7
453600	20.8
457200	20.7
460800	20.7
464400	20.7
468000	21
471600	21.1
475200	22.7
478800	21.8
482400	22.9
486000	24.1
489600	24.1
493200	23.4
496800	23.6
500400	22.5
504000	20.6
507600	20
511200	18.8
514800	20.8
518400	12.1
522000	11.8
525600	11.1
529200	11.2
532800	11.1
536400	12.2
540000	12.6
543600	13
547200	12.7
550800	13.3
554400	13.7
558000	13.7
561600	13.7
565200	13.3
568800	13.4
572400	13.1
576000	13.3
579600	13.8
583200	14.2
586800	12.9
590400	12.4
594000	12.2
597600	11.9
601200	11.5
604800	13.6
608400	13.7
612000	13.9
615600	13.7
619200	13.4
622800	13.2
626400	13.4
630000	12.5
633600	12.4
637200	13.3
640800	13.1
644400	13.3
648000	13.5
651600	13.8
655200	13.8
658800	13.9
662400	13.4
666000	13.4
669600	13.2
673200	13.1
676800	13.5
680400	14
684000	13.6
687600	13
