#1	
double tab1(192,2)	
0	88.750949
3600	90.293251
7200	92.601445
10800	94.943193
14400	97.679965
18000	98.850022
21600	99.100837
25200	99.382052
28800	99.238043
32400	99.349675
36000	99.356365
39600	99.333389
43200	99.383457
46800	99.278348
50400	99.128934
54000	99.122275
57600	99.375851
61200	99.195918
64800	98.507267
68400	97.685474
72000	96.489627
75600	92.980903
79200	89.190383
82800	86.740936
86400	26.222646
90000	25.343918
93600	27.907221
97200	30.633557
100800	30.509491
104400	30.188681
108000	32.822538
111600	31.990499
115200	25.590066
118800	26.332091
122400	38.080872
126000	49.16786
129600	54.587354
133200	57.749304
136800	59.427451
140400	59.39134
144000	57.882151
147600	54.29725
151200	54.086295
154800	56.603001
158400	54.587368
162000	50.634278
165600	46.900932
169200	43.229483
172800	5.77891
176400	3.129872
180000	1.549057
183600	0.716795
187200	0.413059
190800	1.095603
194400	3.165853
198000	6.867586
201600	10.653679
205200	14.436677
208800	18.870301
212400	24.356035
216000	27.905152
219600	29.307875
223200	29.040348
226800	25.193696
230400	20.474632
234000	13.290124
237600	7.482077
241200	4.426706
244800	7.58319
248400	20.709728
252000	37.600406
255600	51.959945
259200	71.760561
262800	67.431457
266400	60.689148
270000	53.278167
273600	48.115306
277200	46.490986
280800	41.149653
284400	28.384259
288000	22.338246
291600	23.008658
295200	24.853248
298800	28.608043
302400	31.151452
306000	31.415206
309600	30.777014
313200	29.767001
316800	29.044578
320400	30.128316
324000	32.681769
327600	35.892824
331200	44.830193
334800	58.727891
338400	70.017108
342000	76.733954
345600	75.839049
349200	79.043579
352800	79.285795
356400	78.669285
360000	78.198107
363600	77.243433
367200	76.661851
370800	74.69725
374400	77.480106
378000	78.786739
381600	79.793231
385200	80.934875
388800	81.937291
392400	82.505947
396000	83.062074
399600	83.75064
403200	84.292071
406800	82.669919
410400	80.757825
414000	79.381122
417600	77.206858
421200	79.324886
424800	84.478143
428400	85.345637
432000	41.444907
435600	34.188088
439200	44.850676
442800	56.28377
446400	48.165889
450000	50.929367
453600	52.996879
457200	52.985806
460800	56.227548
464400	52.567046
468000	49.573244
471600	49.429618
475200	51.394572
478800	57.369278
482400	60.948575
486000	59.64462
489600	56.074862
493200	53.408634
496800	47.225525
500400	35.73421
504000	26.468626
507600	31.732329
511200	50.21049
514800	65.482238
518400	37.547003
522000	45.931625
525600	50.525668
529200	55.714664
532800	64.016641
536400	70.894933
540000	76.095485
543600	79.305323
547200	82.310382
550800	82.674717
554400	82.333159
558000	82.348441
561600	76.273889
565200	63.028409
568800	68.626596
572400	86.850573
576000	93.921445
579600	94.476638
583200	92.628803
586800	90.811928
590400	87.753325
594000	84.58158
597600	81.326929
601200	77.500611
604800	71.138664
608400	68.130061
612000	68.972071
615600	74.136082
619200	77.857683
622800	79.975279
626400	81.0362
630000	80.584682
633600	78.76055
637200	78.973695
640800	81.306589
644400	83.17251
648000	87.300527
651600	89.706955
655200	90.078552
658800	89.70355
662400	89.807618
666000	89.856165
669600	88.915665
673200	87.42767
676800	85.747873
680400	84.459467
684000	82.105607
687600	77.335324
