#1	
double tab1(192,2)	
0	0.001893015
3600	0.001891233
7200	0.001884103
10800	0.00187519
14400	0.001869843
18000	0.001857365
21600	0.0018538
25200	0.00188232
28800	0.001893015
32400	0.001894798
36000	0.001887668
39600	0.00187519
43200	0.001869843
46800	0.00186093
50400	0.00186093
54000	0.00186806
57600	0.00187519
61200	0.001885885
64800	0.00188945
68400	0.001891233
72000	0.001894798
75600	0.001898363
79200	0.001900145
82800	0.001901928
86400	0.00186093
90000	0.001857365
93600	0.001857365
97200	0.001859148
100800	0.001859148
104400	0.0018538
108000	0.001850235
111600	0.001852018
115200	0.001848453
118800	0.00184667
122400	0.001848453
126000	0.00184667
129600	0.001852018
133200	0.001841323
136800	0.001837758
140400	0.001837758
144000	0.00184667
147600	0.001850235
151200	0.00186806
154800	0.001885885
158400	0.001891233
162000	0.001898363
165600	0.00191084
169200	0.001923318
172800	0.001919753
176400	0.001916188
180000	0.0019251
183600	0.001923318
187200	0.001926883
190800	0.001926883
194400	0.001919753
198000	0.001905493
201600	0.001871625
205200	0.001848453
208800	0.001809238
212400	0.001830628
216000	0.001791413
219600	0.001773588
223200	0.001787848
226800	0.001764675
230400	0.00175398
234000	0.001757545
237600	0.00175398
241200	0.001762893
244800	0.001773588
248400	0.00179676
252000	0.001814585
255600	0.001816368
259200	0.00171833
262800	0.0017112
266400	0.00171833
270000	0.001729025
273600	0.001737938
277200	0.00174685
280800	0.001748633
284400	0.001723678
288000	0.00169694
291600	0.001659508
295200	0.00161851
298800	0.001579295
302400	0.001598903
306000	0.001607815
309600	0.00158286
313200	0.001586425
316800	0.0015686
320400	0.0015686
324000	0.0015686
327600	0.0015686
331200	0.0015686
334800	0.0015686
338400	0.001570383
342000	0.00158286
345600	0.00168268
349200	0.001680898
352800	0.001686245
356400	0.001684463
360000	0.001688028
363600	0.001693375
367200	0.001693375
370800	0.001707635
374400	0.001691593
378000	0.001680898
381600	0.001671985
385200	0.001655943
388800	0.001650595
392400	0.001698723
396000	0.001655943
399600	0.001627423
403200	0.00162564
406800	0.001623858
410400	0.001630988
414000	0.001643465
417600	0.00166129
421200	0.00167555
424800	0.00167555
428400	0.001677333
432000	0.001727243
435600	0.001729025
439200	0.001730808
442800	0.001730808
446400	0.00173259
450000	0.001734373
453600	0.00173259
457200	0.001734373
460800	0.001734373
464400	0.001734373
468000	0.001729025
471600	0.001727243
475200	0.001698723
478800	0.001714765
482400	0.001695158
486000	0.001673768
489600	0.001673768
493200	0.001686245
496800	0.00168268
500400	0.001702288
504000	0.001736155
507600	0.00174685
511200	0.00176824
514800	0.00173259
518400	0.001887668
522000	0.001893015
525600	0.001905493
529200	0.00190371
532800	0.001905493
536400	0.001885885
540000	0.001878755
543600	0.001871625
547200	0.001876973
550800	0.001866278
554400	0.001859148
558000	0.001859148
561600	0.001859148
565200	0.001866278
568800	0.001864495
572400	0.001869843
576000	0.001866278
579600	0.001857365
583200	0.001850235
586800	0.001873408
590400	0.00188232
594000	0.001885885
597600	0.001891233
601200	0.001898363
604800	0.00186093
608400	0.001859148
612000	0.001855583
615600	0.001859148
619200	0.001864495
622800	0.00186806
626400	0.001864495
630000	0.001880538
633600	0.00188232
637200	0.001866278
640800	0.001869843
644400	0.001866278
648000	0.001862713
651600	0.001857365
655200	0.001857365
658800	0.001855583
662400	0.001864495
666000	0.001864495
669600	0.00186806
673200	0.001869843
676800	0.001862713
680400	0.0018538
684000	0.00186093
687600	0.001871625
