#1	
double tab1(192,2)	
0	3.91000
3600	3.90500
7200	3.88500
10800	3.86000
14400	3.84500
18000	3.81000
21600	3.80000
25200	3.88000
28800	3.91000
32400	3.91500
36000	3.89500
39600	3.86000
43200	3.84500
46800	3.82000
50400	3.82000
54000	3.84000
57600	3.86000
61200	3.89000
64800	3.90000
68400	3.90500
72000	3.91500
75600	3.92500
79200	3.93000
82800	3.93500
86400	3.82000
90000	3.81000
93600	3.81000
97200	3.81500
100800	3.81500
104400	3.80000
108000	3.79000
111600	3.79500
115200	3.78500
118800	3.78000
122400	3.78500
126000	3.78000
129600	3.79500
133200	3.76500
136800	3.75500
140400	3.75500
144000	3.78000
147600	3.79000
151200	3.84000
154800	3.89000
158400	3.90500
162000	3.92500
165600	3.96000
169200	3.99500
172800	3.98500
176400	3.97500
180000	4.00000
183600	3.99500
187200	4.00500
190800	4.00500
194400	3.98500
198000	3.94500
201600	3.85000
205200	3.78500
208800	3.67500
212400	3.73500
216000	3.62500
219600	3.57500
223200	3.61500
226800	3.55000
230400	3.52000
234000	3.53000
237600	3.52000
241200	3.54500
244800	3.57500
248400	3.64000
252000	3.69000
255600	3.69500
259200	3.42000
262800	3.40000
266400	3.42000
270000	3.45000
273600	3.47500
277200	3.50000
280800	3.50500
284400	3.43500
288000	3.36000
291600	3.25500
295200	3.14000
298800	3.03000
302400	3.08500
306000	3.11000
309600	3.04000
313200	3.05000
316800	3.00000
320400	3.00000
324000	3.00000
327600	3.00000
331200	3.00000
334800	3.00000
338400	3.00500
342000	3.04000
345600	3.32000
349200	3.31500
352800	3.33000
356400	3.32500
360000	3.33500
363600	3.35000
367200	3.35000
370800	3.39000
374400	3.34500
378000	3.31500
381600	3.29000
385200	3.24500
388800	3.23000
392400	3.36500
396000	3.24500
399600	3.16500
403200	3.16000
406800	3.15500
410400	3.17500
414000	3.21000
417600	3.26000
421200	3.30000
424800	3.30000
428400	3.30500
432000	3.44500
435600	3.45000
439200	3.45500
442800	3.45500
446400	3.46000
450000	3.46500
453600	3.46000
457200	3.46500
460800	3.46500
464400	3.46500
468000	3.45000
471600	3.44500
475200	3.36500
478800	3.41000
482400	3.35500
486000	3.29500
489600	3.29500
493200	3.33000
496800	3.32000
500400	3.37500
504000	3.47000
507600	3.50000
511200	3.56000
514800	3.46000
518400	3.89500
522000	3.91000
525600	3.94500
529200	3.94000
532800	3.94500
536400	3.89000
540000	3.87000
543600	3.85000
547200	3.86500
550800	3.83500
554400	3.81500
558000	3.81500
561600	3.81500
565200	3.83500
568800	3.83000
572400	3.84500
576000	3.83500
579600	3.81000
583200	3.79000
586800	3.85500
590400	3.88000
594000	3.89000
597600	3.90500
601200	3.92500
604800	3.82000
608400	3.81500
612000	3.80500
615600	3.81500
619200	3.83000
622800	3.84000
626400	3.83000
630000	3.87500
633600	3.88000
637200	3.83500
640800	3.84500
644400	3.83500
648000	3.82500
651600	3.81000
655200	3.81000
658800	3.80500
662400	3.83000
666000	3.83000
669600	3.84000
673200	3.84500
676800	3.82500
680400	3.80000
684000	3.82000
687600	3.85000
