"time","hp2.COP"
0,4.1399
0.0161928,4.14004
0.0161928,4.14004
0.0190915,4.14007
0.0190915,4.14007
0.5,4.14421
1,4.14852
1,4.14852
1,4.14852
1.5,4.16584
2,4.18326
2,4.18326
2,4.18326
2.5,4.20521
3,4.22734
3,4.22734
3,4.22734
3.5,4.24071
4,4.25414
4,4.25414
4,4.25414
4.5,4.28575
5,4.31773
5,4.31773
5,4.31773
5.5,4.32694
6,4.33618
6,4.33618
6,4.33618
6.5,4.26314
7,4.19202
7,4.19202
7,4.19202
7.5,4.16584
8,4.1399
8,4.1399
8,4.1399
8.5,4.13561
9,4.13132
9,4.13132
9,4.13132
9.5,4.14852
10,4.16584
10,4.16584
10,4.16584
10.5,4.19641
11,4.22734
11,4.22734
11,4.22734
11.5,4.24071
12,4.25414
12,4.25414
12,4.25414
12.5,4.27668
13,4.29941
13,4.29941
13,4.29941
13.5,4.29941
14,4.29941
14,4.29941
14,4.29941
14.5,4.28121
15,4.26314
15,4.26314
15,4.26314
15.5,4.24518
16,4.22734
16,4.22734
16,4.22734
16.5,4.20081
17,4.17454
17,4.17454
17,4.17454
17.5,4.16584
18,4.15716
18,4.15716
18,4.15716
18.5,4.15284
19,4.14852
19,4.14852
19,4.14852
19.5,4.1399
20,4.13132
20,4.13132
20,4.13132
20.5,4.12276
21,4.11423
21,4.11423
21,4.11423
21.5,4.10997
22,4.10572
22,4.10572
22,4.10572
22.5,4.10148
23,4.09724
23,4.09724
23,4.09724
23.5,4.19641
24,4.29941
24,4.29941
24,4.29941
24.5,4.30856
25,4.31773
25,4.31773
25,4.31773
25.5,4.31773
26,4.31773
26,4.31773
26,4.31773
26.5,4.31314
27,4.30856
27,4.30856
27,4.30856
27.5,4.30856
28,4.30856
28,4.30856
28,4.30856
28.5,4.32233
29,4.33618
29,4.33618
29,4.33618
29.5,4.34545
30,4.35475
30,4.35475
30,4.35475
30.5,4.3501
31,4.34545
31,4.34545
31,4.34545
31.5,4.35475
32,4.36409
32,4.36409
32,4.36409
32.5,4.36877
33,4.37345
33,4.37345
33,4.37345
33.5,4.36877
34,4.36409
34,4.36409
34,4.36409
34.5,4.36877
35,4.37345
35,4.37345
35,4.37345
35.5,4.35942
36,4.34545
36,4.34545
36,4.34545
36.5,4.37345
37,4.40174
37,4.40174
37,4.40174
37.5,4.41124
38,4.42077
38,4.42077
38,4.42077
38.5,4.42077
39,4.42077
39,4.42077
39,4.42077
39.5,4.39701
40,4.37345
40,4.37345
40,4.37345
40.5,4.36409
41,4.35475
41,4.35475
41,4.35475
41.5,4.30856
42,4.26314
42,4.26314
42,4.26314
42.5,4.21847
43,4.17454
43,4.17454
43,4.17454
43.5,4.1615
44,4.14852
44,4.14852
44,4.14852
44.5,4.13132
45,4.11423
45,4.11423
45,4.11423
45.5,4.08458
45.9224,4.0598
45.9224,4.0598
45.9225,4.05979
45.9225,4.05979
45.9771,4.05661
45.9771,4.05661
45.9771,4.0566
45.9771,4.0566
46,4.05527
46,4.05527
46,4.05527
46.0152,4.05438
46.0152,4.05438
46.0153,4.05438
46.0153,4.05438
46.0474,4.05251
46.0474,4.05251
46.0474,4.05251
46.0474,4.05251
46.077,4.05079
46.077,4.05079
46.0771,4.05078
46.0771,4.05078
46.1055,4.04913
46.1055,4.04913
46.1055,4.04913
46.1055,4.04913
46.1333,4.04751
46.1333,4.04751
46.1333,4.04751
46.1333,4.04751
46.1608,4.04592
46.1608,4.04592
46.1608,4.04591
46.1608,4.04591
46.188,4.04434
46.188,4.04434
46.1881,4.04433
46.1881,4.04433
46.215,4.04277
46.215,4.04277
46.2151,4.04276
46.2151,4.04276
46.2418,4.04121
46.2418,4.04121
46.2419,4.04121
46.2419,4.04121
46.2685,4.03967
46.2685,4.03967
46.2685,4.03966
46.2685,4.03966
46.295,4.03813
46.295,4.03813
46.295,4.03813
46.295,4.03813
46.3212,4.03661
46.3212,4.03661
46.3213,4.03661
46.3213,4.03661
46.3474,4.0351
46.3474,4.0351
46.3474,4.0351
46.3474,4.0351
46.3733,4.0336
46.3733,4.0336
46.3733,4.0336
46.3733,4.0336
46.399,4.03212
46.399,4.03212
46.3991,4.03211
46.3991,4.03211
46.4246,4.03064
46.4246,4.03064
46.4247,4.03064
46.4247,4.03064
46.45,4.02917
46.45,4.02917
46.45,4.02917
46.45,4.02917
46.4752,4.02772
46.4752,4.02772
46.4752,4.02772
46.4752,4.02772
46.5,4.02629
46.5002,4.02627
46.5002,4.02627
46.5003,4.02627
46.5003,4.02627
46.5251,4.02484
46.5251,4.02484
46.5252,4.02484
46.5252,4.02484
46.5499,4.02342
46.5499,4.02342
46.5499,4.02341
46.5499,4.02341
46.5744,4.022
46.5744,4.022
46.5745,4.022
46.5745,4.022
46.5987,4.0206
46.5987,4.0206
46.5988,4.0206
46.5988,4.0206
46.6229,4.01921
46.6229,4.01921
46.623,4.01921
46.623,4.01921
46.6469,4.01784
46.6469,4.01784
46.6469,4.01783
46.6469,4.01783
