time,Tamb,Tamb_avg
0,6.8,7.45
1,6.9,7.45
2,7.3,7.45
3,7.8,7.45
4,8.1,7.45
5,8.8,7.45
6,9,7.45
7,7.4,7.45
8,6.8,7.45
9,6.7,7.45
10,7.1,7.45
11,7.8,7.45
12,8.1,7.45
13,8.6,7.45
14,8.6,7.45
15,8.2,7.45
16,7.8,7.45
17,7.2,7.45
18,7,7.45
19,6.9,7.45
20,6.7,7.45
21,6.5,7.45
22,6.4,7.45
23,6.3,7.45
24,8.6,8.55
25,8.8,8.55
26,8.8,8.55
27,8.7,8.55
28,8.7,8.55
29,9,8.55
30,9.2,8.55
31,9.1,8.55
32,9.3,8.55
33,9.4,8.55
34,9.3,8.55
35,9.4,8.55
36,9.1,8.55
37,9.7,8.55
38,9.9,8.55
39,9.9,8.55
40,9.4,8.55
41,9.2,8.55
42,8.2,8.55
43,7.2,8.55
44,6.9,8.55
45,6.5,8.55
46,5.8,8.55
47,5.1,8.55
48,5.3,9.983333333
49,5.5,9.983333333
50,5,9.983333333
51,5.1,9.983333333
52,4.9,9.983333333
53,4.9,9.983333333
54,5.3,9.983333333
55,6.1,9.983333333
56,8,9.983333333
57,9.3,9.983333333
58,11.5,9.983333333
59,10.3,9.983333333
60,12.5,9.983333333
61,13.5,9.983333333
62,12.7,9.983333333
63,14,9.983333333
64,14.6,9.983333333
65,14.4,9.983333333
66,14.6,9.983333333
67,14.1,9.983333333
68,13.5,9.983333333
69,12.2,9.983333333
70,11.2,9.983333333
71,11.1,9.983333333
72,16.6,21.77083333
73,17,21.77083333
74,16.6,21.77083333
75,16,21.77083333
76,15.5,21.77083333
77,15,21.77083333
78,14.9,21.77083333
79,16.3,21.77083333
80,17.8,21.77083333
81,19.9,21.77083333
82,22.2,21.77083333
83,24.4,21.77083333
84,23.3,21.77083333
85,22.8,21.77083333
86,24.2,21.77083333
87,24,21.77083333
88,28.2,21.77083333
89,28.7,21.77083333
90,28.6,21.77083333
91,27.8,21.77083333
92,27.2,21.77083333
93,26.4,21.77083333
94,24.9,21.77083333
95,24.2,21.77083333
96,18.6,19.35
97,18.7,19.35
98,18.4,19.35
99,18.5,19.35
100,18.3,19.35
101,18,19.35
102,18,19.35
103,17.2,19.35
104,18.1,19.35
105,18.7,19.35
106,19.2,19.35
107,20.1,19.35
108,20.4,19.35
109,17.7,19.35
110,20.1,19.35
111,21.7,19.35
112,21.8,19.35
113,21.9,19.35
114,21.5,19.35
115,20.8,19.35
116,19.8,19.35
117,19,19.35
118,19,19.35
119,18.9,19.35
120,16.1,16.4875
121,16,16.4875
122,15.9,16.4875
123,15.9,16.4875
124,15.8,16.4875
125,15.7,16.4875
126,15.8,16.4875
127,15.7,16.4875
128,15.7,16.4875
129,15.7,16.4875
130,16,16.4875
131,16.1,16.4875
132,17.7,16.4875
133,16.8,16.4875
134,17.9,16.4875
135,19.1,16.4875
136,19.1,16.4875
137,18.4,16.4875
138,18.6,16.4875
139,17.5,16.4875
140,15.6,16.4875
141,15,16.4875
142,13.8,16.4875
143,15.8,16.4875
144,7.1,7.675
145,6.8,7.675
146,6.1,7.675
147,6.2,7.675
148,6.1,7.675
149,7.2,7.675
150,7.6,7.675
151,8,7.675
152,7.7,7.675
153,8.3,7.675
154,8.7,7.675
155,8.7,7.675
156,8.7,7.675
157,8.3,7.675
158,8.4,7.675
159,8.1,7.675
160,8.3,7.675
161,8.8,7.675
162,9.2,7.675
163,7.9,7.675
164,7.4,7.675
165,7.2,7.675
166,6.9,7.675
167,6.5,7.675
168,8.6,8.404166667
169,8.7,8.404166667
170,8.9,8.404166667
171,8.7,8.404166667
172,8.4,8.404166667
173,8.2,8.404166667
174,8.4,8.404166667
175,7.5,8.404166667
176,7.4,8.404166667
177,8.3,8.404166667
178,8.1,8.404166667
179,8.3,8.404166667
180,8.5,8.404166667
181,8.8,8.404166667
182,8.8,8.404166667
183,8.9,8.404166667
184,8.4,8.404166667
185,8.4,8.404166667
186,8.2,8.404166667
187,8.1,8.404166667
188,8.5,8.404166667
189,9,8.404166667
190,8.6,8.404166667
191,8,8.404166667
