time,electrolyser_detailed.electrochemical.Vcell,electrolyser_detailed.electrochemical.jcell
0,1.50300,0.00422136
0.24,1.50303,0.00422137
0.48,1.51684,0.00836587
0.72,1.5251,0.0124808
0.96,1.53109,0.0165759
1.2,1.53584,0.0206559
1.44,1.5398,0.0247233
1.68,1.54322,0.02878
1.92,1.54623,0.0328273
2.16,1.54895,0.036866
2.4,1.55142,0.0408969
2.64,1.5537,0.0449207
2.88,1.55581,0.0489377
3.12,1.5578,0.0529484
3.36,1.55966,0.056953
3.6,1.56143,0.060952
3.84,1.56311,0.0649455
4.08,1.56472,0.0689338
4.32,1.56626,0.0729171
4.56,1.56774,0.0768955
4.8,1.56916,0.0808691
5.04,1.57053,0.0848382
5.28,1.57187,0.0888029
5.52,1.57316,0.0927632
5.76,1.57441,0.0967193
6,1.57563,0.100671
6.24,1.57682,0.104619
6.48,1.57798,0.108563
6.72,1.57911,0.112503
6.96,1.58022,0.116439
7.2,1.58131,0.120372
7.44,1.58237,0.124301
7.68,1.58341,0.128226
7.92,1.58443,0.132148
8.16,1.58544,0.136066
8.4,1.58643,0.139981
8.64,1.5874,0.143892
8.88,1.58836,0.1478
9.12,1.5893,0.151704
9.36,1.59023,0.155606
9.6,1.59114,0.159504
9.84,1.59205,0.163398
10.08,1.59294,0.16729
10.32,1.59382,0.171179
10.56,1.59469,0.175064
10.8,1.59555,0.178946
11.04,1.5964,0.182825
11.28,1.59724,0.186702
11.52,1.59807,0.190575
11.76,1.59889,0.194445
12,1.59971,0.198312
12.24,1.60051,0.202177
12.48,1.60131,0.206038
12.72,1.6021,0.209897
12.96,1.60288,0.213753
13.2,1.60366,0.217605
13.44,1.60443,0.221456
13.68,1.6052,0.225303
13.92,1.60595,0.229147
14.16,1.6067,0.232989
14.4,1.60745,0.236828
14.64,1.60819,0.240665
14.88,1.60893,0.244498
15.12,1.60966,0.248329
15.36,1.61038,0.252157
15.6,1.6111,0.255983
15.84,1.61181,0.259806
16.08,1.61252,0.263626
16.32,1.61323,0.267444
16.56,1.61393,0.271259
16.8,1.61463,0.275072
17.04,1.61532,0.278882
17.28,1.61601,0.282689
17.52,1.61669,0.286494
17.76,1.61737,0.290296
18,1.61805,0.294096
18.24,1.61872,0.297894
18.48,1.61939,0.301689
18.72,1.62006,0.305481
18.96,1.62072,0.309271
19.2,1.62138,0.313058
19.44,1.62203,0.316843
19.68,1.62269,0.320626
19.92,1.62334,0.324406
20.16,1.62398,0.328184
20.4,1.62463,0.331959
20.64,1.62527,0.335732
20.88,1.62591,0.339503
21.12,1.62654,0.343271
21.36,1.62717,0.347037
21.6,1.6278,0.350801
21.84,1.62843,0.354562
22.08,1.62906,0.358321
22.32,1.62968,0.362077
22.56,1.6303,0.365831
22.8,1.63091,0.369583
23.04,1.63153,0.373333
23.28,1.63214,0.37708
23.52,1.63275,0.380825
23.76,1.63336,0.384568
24,1.63397,0.388308
24.24,1.63457,0.392047
24.48,1.63517,0.395783
24.72,1.63577,0.399516
24.96,1.63637,0.403248
25.2,1.63696,0.406977
25.44,1.63756,0.410704
25.68,1.63815,0.414429
25.92,1.63874,0.418152
26.16,1.63933,0.421872
26.4,1.63991,0.42559
26.64,1.6405,0.429306
26.88,1.64108,0.43302
27.12,1.64166,0.436732
27.36,1.64224,0.440442
27.6,1.64282,0.444149
27.84,1.64339,0.447854
28.08,1.64397,0.451557
28.32,1.64454,0.455258
28.56,1.64511,0.458957
28.8,1.64568,0.462654
29.04,1.64625,0.466348
29.28,1.64681,0.470041
29.52,1.64738,0.473731
29.76,1.64794,0.47742
30,1.6485,0.481106
30.24,1.64906,0.48479
30.48,1.64962,0.488472
30.72,1.65018,0.492152
30.96,1.65073,0.49583
31.2,1.65129,0.499505
31.44,1.65184,0.503179
31.68,1.65239,0.506851
31.92,1.65294,0.510521
32.16,1.65349,0.514188
32.4,1.65404,0.517854
32.64,1.65459,0.521517
32.88,1.65513,0.525179
33.12,1.65568,0.528838
33.36,1.65622,0.532496
33.6,1.65676,0.536151
33.84,1.6573,0.539805
34.08,1.65784,0.543456
34.32,1.65838,0.547106
34.56,1.65892,0.550753
34.8,1.65946,0.554398
35.04,1.65999,0.558042
35.28,1.66053,0.561683
35.52,1.66106,0.565323
35.76,1.66159,0.568961
36,1.66212,0.572596
36.24,1.66265,0.57623
