"time","electrolyser_detailed1.Pelec","hp2.Pelec"
0,49,40
0.25,48.5842,42
0.5,48.5305,42
0.75,48.4893,47.1822
1,48.4569,47.1822
1,48.4569,44.9309
1,48.4569,44.817
1.25,48.3934,44.817
1.5,48.3346,44.817
1.75,48.2794,44.3846
2,48.2267,43.9337
2,48.2267,43.9337
2,48.2267,43.9337
2.25,48.1635,43.3818
2.5,48.1017,42.828
2.75,48.0409,42.828
3,47.9809,42.828
3,47.9809,42.4847
3,47.9809,42.157
3.25,47.946,42.157
3.5,47.9113,42.157
3.75,47.8765,41.425
4,47.8418,40.6766
4,47.8418,40.6766
4,47.8418,40.6766
4.25,47.7579,40.4332
4.5,47.6744,40.2223
4.75,47.5915,40.2223
5,47.5092,40.2223
5,47.5092,41.8148
5,47.5092,43.57
5.25,47.4884,43.57
5.5,47.4674,43.57
5.75,47.4457,44.3131
6,47.4237,44.9939
6,47.4237,44.9939
6,47.4237,44.9939
6.25,47.6222,45.1448
6.5,47.8187,45.2594
6.75,48.0123,45.2594
7,48.2035,45.2594
7,48.2035,44.8387
7,48.2035,44.3846
7.25,48.2705,44.3846
7.5,48.3374,44.3846
7.75,48.405,43.6187
8,48.4731,42.8416
8,48.4731,42.8416
8,48.4731,42.8416
8.25,48.4805,42.4847
8.5,48.4885,42.157
8.75,48.4976,42.157
9,48.5073,42.157
9,48.5073,41.6277
9,48.5073,41.0904
9.25,48.4563,41.0904
9.5,48.4061,41.0904
9.75,48.357,41.0583
10,48.3087,41.0583
10,48.3087,41.0583
10,48.3087,41.0583
10.25,48.224,41.4614
10.5,48.14,41.8933
10.75,48.0568,41.8933
11,47.9743,41.8933
11,47.9743,42.3285
11,47.9743,42.7668
11.25,47.941,42.7668
11.5,47.9077,42.7668
11.75,47.874,43.4169
12,47.84,44.0877
12,47.84,44.0877
12,47.84,44.0877
12.25,47.7812,44.3416
12.5,47.7224,44.5679
12.75,47.6638,44.5679
13,47.6057,44.5679
13,47.6057,44.6887
13,47.6057,44.8023
13.25,47.6084,44.8023
13.5,47.611,44.8023
13.75,47.6129,45.0232
14,47.6142,45.2519
14,47.6142,45.2519
14,47.6142,45.2519
14.25,47.6643,45.4817
14.5,47.7137,45.7123
14.75,47.7622,45.7123
15,47.8102,45.7123
15,47.8102,45.8354
15,47.8102,45.9512
15.25,47.8577,45.9512
15.5,47.9049,45.9512
15.75,47.952,46.0673
16,47.9988,46.1835
16,47.9988,46.1835
16,47.9988,46.1835
16.25,48.0701,43.7309
16.5,48.1411,41.2058
16.75,48.2118,41.2058
17,48.2821,41.2058
17,48.2821,40.8576
17,48.2821,40.6451
17.25,48.3032,40.6451
17.5,48.3245,40.6451
17.75,48.3463,40.6324
18,48.3685,40.6324
18,48.3685,40.6324
18,48.3685,40.6324
18.25,48.3788,40.7323
18.5,48.3894,40.8386
18.75,48.4002,40.8386
19,48.4113,40.8386
19,48.4113,40.8449
19,48.4113,40.8449
19.25,48.4348,40.8449
19.5,48.4583,40.8449
19.75,48.4817,40.5453
20,48.505,40.2285
20,48.505,40.2285
20,48.505,40.2285
20.25,48.5284,40.0119
20.5,48.5517,39.8026
20.75,48.575,39.8026
21,48.5982,39.8026
21,48.5982,39.8888
21,48.5982,39.9935
21.25,48.6092,39.9935
21.5,48.6203,39.9935
21.75,48.6315,39.8025
22,48.6428,39.594
22,48.6428,39.594
22,48.6428,39.594
22.25,48.6543,39.4838
22.5,48.6657,39.3801
22.75,48.6772,39.3801
23,48.6887,39.3801
23,48.6887,39.4718
23,48.6887,39.5757
23.25,48.4056,39.5757
23.5,48.1252,39.5757
23.75,47.8486,39.4838
24,47.5748,39.38
24,47.5748,39.38
24,47.5748,39.38
24.25,47.5603,39.6677
24.5,47.5452,39.9812
24.75,47.5278,39.9812
25,47.5089,39.9812
25,47.5089,39.41
25,47.5089,38.7907
25.25,47.513,38.7907
25.5,47.5163,38.7907
25.75,47.5187,38.5625
26,47.5204,38.3586
26,47.5204,38.3586
26,47.5204,38.3586
26.25,47.5339,38.347
26.5,47.5469,38.347
26.75,47.5596,38.347
27,47.5719,38.347
27,47.5719,38.8287
27,47.5719,39.344
27.25,47.5718,39.344
27.5,47.5716,39.344
27.75,47.5715,39.5697
28,47.5714,39.7781
28,47.5714,39.7781
28,47.5714,39.7781
28.25,47.5345,40.7818
28.5,47.498,41.8539
28.75,47.4619,41.8539
29,47.4262,41.8539
29,47.4262,42.9465
29,47.4262,44.0595
29.25,47.403,44.0595
29.5,47.3798,44.0595
29.75,47.3567,44.4475
30,47.3336,44.7879
30,47.3336,44.7879
30,47.3336,44.7879
30.25,47.3471,45.2373
30.5,47.3604,45.6969
30.75,47.3733,45.6969
31,47.3857,45.6969
31,47.3857,46.4876
31,47.3857,47.1822
31.25,47.3612,47.1822
31.5,47.3368,47.2944
31.75,47.3127,47.2944
32,47.2889,47.2944
32,47.2889,47.2944
32,47.2889,47.3653
32.25,47.2774,47.3653
32.5,47.266,47.3571
32.75,47.2545,47.3571
33,47.2431,47.3571
33,47.2431,47.3653
33,47.2431,47.3653
33.25,47.256,47.422
33.5,47.2688,47.422
33.75,47.2813,47.422
34,47.2935,47.422
34,47.2935,47.4727
34,47.2935,47.4727
34.25,47.2811,47.4727
34.5,47.2687,47.4727
34.75,47.2565,47.5207
35,47.2445,47.5207
35,47.2445,47.5207
35,47.2445,47.5207
35.25,47.2816,47.5674
35.5,47.3185,47.5674
35.75,47.3548,47.5674
36,47.3907,47.5674
36,47.3907,47.6134
36,47.3907,47.6134
36.25,47.3158,47.6134
36.5,47.2416,47.6134
36.75,47.1687,47.6589
37,47.0967,47.6589
37,47.0967,47.6589
37,47.0967,47.6589
37.25,47.0745,47.7041
37.5,47.0522,47.7041
37.75,47.0298,47.7041
38,47.0071,47.7041
38,47.0071,47.7489
38,47.0071,47.7489
38.25,47.0088,47.7489
38.5,47.0102,47.7489
38.75,47.0112,47.7935
39,47.0119,47.7935
39,47.0119,47.7935
39,47.0119,47.7935
39.25,47.0738,47.8379
39.5,47.135,47.8379
39.75,47.1954,47.8379
40,47.2551,47.8379
40,47.2551,47.8819
40,47.2551,47.8819
40.25,47.2775,47.8819
40.5,47.2999,47.8819
40.75,47.3225,47.9257
41,47.345,47.9257
41,47.345,47.9257
41,47.345,47.9257
41.25,47.4665,47.9693
41.5,47.5869,47.9693
41.75,47.7061,47.9693
42,47.8244,47.9693
42,47.8244,48.0125
42,47.8244,48.0125
42.25,47.9421,48.0125
42.5,48.0594,48.0125
42.75,48.1764,48.0555
43,48.293,48.0555
43,48.293,48.0555
43,48.293,48.0555
43.25,48.3236,48.0982
43.5,48.3548,48.0982
43.75,48.387,48.0982
44,48.4199,48.0982
44,48.4199,48.1406
44,48.4199,48.1406
44.25,48.4657,48.1406
44.5,48.5118,48.1406
44.75,48.5579,48.1828
45,48.6041,48.1828
45,48.6041,48.1826
45,48.6041,48.1828
45.25,48.6873,48.1828
45.5,48.7702,48.2247
45.75,48.8527,48.2247
46,48.9347,48.2247
46,48.9347,48.2247
46,48.9347,48.2664
46.25,49.0166,48.2664
46.5,49.0983,48.2664
46.75,49.1799,48.2664
47,49.2613,48.3078
47,49.2613,48.3078
47,49.2613,48.3078
47.25,49.2321,48.3078
47.5,49.2039,48.3489
47.75,49.1771,48.3489
48,49.1517,48.3489
48,49.1517,48.3489
48,49.1517,48.3898
48.25,49.1264,48.3898
48.5,49.1019,48.3898
48.75,49.0777,48.3898
49,49.0539,48.4303
49,49.0539,48.4303
49,49.0539,48.4303
49.25,49.1161,48.4303
49.5,49.1778,48.4705
49.75,49.2385,48.4705
50,49.2983,48.4705
50,49.2983,48.4705
50,49.2983,48.5104
50.25,49.284,48.5104
50.5,49.2699,48.5104
50.75,49.2565,48.5104
51,49.2438,48.5501
51,49.2438,48.5501
51,49.2438,48.5501
51.25,49.268,48.5501
51.5,49.2923,48.5894
51.75,49.3163,48.5894
52,49.34,48.5894
52,49.34,48.5894
52,49.34,48.6285
52.25,49.3391,48.6285
52.5,49.3383,48.6285
52.75,49.3377,48.6285
53,49.3372,48.6672
53,49.3372,48.6672
53,49.3372,48.6672
53.25,49.2878,48.6672
53.5,49.2388,48.7056
53.75,49.1906,48.7056
54,49.143,48.7056
54,49.143,48.7056
54,49.143,48.7436
54.25,49.0465,48.7436
54.5,48.9507,48.7436
54.75,48.8558,48.7436
55,48.7622,48.7813
55,48.7622,48.7813
55,48.7622,48.7813
55.25,48.5324,48.7813
55.5,48.305,48.8186
55.75,48.0795,48.8186
56,47.8555,48.8186
56,47.8555,48.8186
56,47.8555,48.8555
56.25,47.7059,48.8555
56.5,47.5564,48.8555
56.75,47.4065,48.8555
57,47.2564,48.8921
57,47.2564,48.8921
57,47.2564,48.8921
57.25,46.9956,48.8921
57.5,46.7356,48.9283
57.75,46.4769,48.9283
58,46.2191,48.9283
58,46.2191,48.9283
58,46.2191,48.964
58.25,46.3785,48.964
58.5,46.5353,48.964
58.75,46.6874,48.964
59,46.8359,48.9993
59,46.8359,48.9993
59,46.8359,48.9993
59.25,46.5646,48.9993
59.5,46.2952,49.0341
59.75,46.0297,49.0341
60,45.7671,49.0333
60,45.7671,49.0333
60,45.7671,49.0333
60.25,45.6534,49.0341
60.5,45.54,49.0341
60.75,45.4259,49.0609
61,45.3112,49.0609
61,45.3112,48.8203
61,45.3112,48.5784
61.25,45.4167,48.5784
61.5,45.5202,48.5784
61.75,45.6208,48.3372
62,45.7192,48.0971
62,45.7192,48.0971
62,45.7192,48.0971
62.25,45.5588,48.6418
62.5,45.3992,49.061
62.75,45.2421,49.061
63,45.0867,49.1445
63,45.0867,49.1445
63,45.0867,49.1445
63.25,45.0182,49.1445
63.5,44.9499,49.1956
63.75,44.8813,49.1956
64,44.8124,49.1957
64,44.8124,49.1957
64,44.8124,49.2348
64.25,44.8412,49.2348
64.5,44.8692,49.2348
64.75,44.8959,49.2348
65,44.9216,49.2685
65,44.9216,49.2685
65,44.9216,49.2685
65.25,44.8978,49.2685
65.5,44.8737,49.2992
65.75,44.8498,49.2992
66,44.8261,49.2971
66,44.8261,49.2971
66,44.8261,49.2971
66.25,44.8883,49.1766
66.5,44.9501,49.0549
66.75,45.0108,49.0549
67,45.0706,49.0549
67,45.0706,49.2735
67,45.0706,49.2992
67.25,45.1425,49.2992
67.5,45.2137,49.3347
67.75,45.2846,49.3347
68,45.3551,49.3347
68,45.3551,49.3347
68,45.3551,49.359
68.25,45.5113,49.359
68.5,45.6666,49.359
68.75,45.8208,49.359
69,45.9741,49.3802
69,45.9741,49.3802
69,45.9741,49.3802
69.25,46.0899,49.3802
69.5,46.2056,49.4003
69.75,46.3213,49.4003
70,46.4372,49.4003
70,46.4372,49.4003
70,46.4372,49.42
70.25,46.4427,49.42
70.5,46.4491,49.42
70.75,46.457,49.42
71,46.4658,49.4394
71,46.4658,49.4394
71,46.4658,49.4394
71.25,45.7888,49.4394
71.5,45.1187,49.4585
71.75,44.4577,49.4585
72,43.803,49.4585
72,43.803,49.4585
72,43.803,49.4775
72.25,43.7756,49.4775
72.5,43.7473,49.4775
72.75,43.7142,49.4775
73,43.6776,49.4962
73,43.6776,49.4962
73,43.6776,49.4962
73.25,43.7362,49.4962
73.5,43.7923,49.5147
73.75,43.8458,49.5147
74,43.8974,49.5147
74,43.8974,49.5147
74,43.8974,49.5328
74.25,43.9722,49.5328
74.5,44.0458,49.5309
74.75,44.1183,49.5309
75,44.1901,49.5309
75,44.1901,49.5328
75,44.1901,49.5328
75.25,44.249,49.5422
75.5,44.3077,49.5422
75.75,44.3662,49.5346
76,44.4245,49.5346
76,44.4245,49.5346
76,44.4245,49.5346
76.25,44.4828,49.0798
76.5,44.5411,48.5947
76.75,44.5993,48.5947
77,44.6574,48.5947
77,44.6574,47.6669
77,44.6574,46.7202
77.25,44.6666,46.7202
77.5,44.676,46.7202
77.75,44.686,44.606
78,44.6965,42.4827
78,44.6965,42.4827
78,44.6965,42.4827
78.25,44.5234,41.0344
78.5,44.3521,39.6606
78.75,44.1831,39.6606
79,44.016,39.6606
79,44.016,37.4621
79,44.016,35.3021
79.25,43.8377,35.3021
79.5,43.6605,35.3021
79.75,43.4841,36.287
80,43.3085,37.4724
80,43.3085,37.4724
80,43.3085,37.4724
80.25,43.0595,35.4946
80.5,42.8115,33.417
80.75,42.5646,33.417
81,42.3186,33.417
81,42.3186,32.4473
81,42.3186,31.5522
81.25,42.0486,31.5522
81.5,41.7792,31.5522
81.75,41.5104,32.1863
82,41.242,32.9096
82,41.242,32.9096
82,41.242,32.9096
82.25,40.9861,31.832
82.5,40.7304,30.6871
82.75,40.4747,30.6871
83,40.2191,30.6871
83,40.2191,30.14
83,40.2191,29.6284
83.25,40.366,29.6284
83.5,40.5109,29.6284
83.75,40.6515,29.7663
84,40.7888,29.9366
84,40.7888,29.9366
84,40.7888,29.9366
84.25,40.8504,29.7823
84.5,40.9106,29.6125
84.75,40.9703,29.6125
85,41.0295,29.6125
85,41.0295,30.0099
85,41.0295,30.4392
85.25,40.8561,30.4392
85.5,40.684,30.4392
85.75,40.5145,30.9558
86,40.3467,31.4828
86,40.3467,31.4828
86,40.3467,31.4828
86.25,40.3757,32.6143
86.5,40.4045,33.806
86.75,40.4319,33.806
87,40.4581,33.806
87,40.4581,34.7584
87,40.4581,35.7149
87.25,40.3356,35.7149
87.5,40.211,35.7149
87.75,40.0859,35.8585
88,39.9604,35.9555
88,39.9604,35.9555
88,39.9604,35.9555
88.25,39.9578,31.1279
88.5,39.9562,26.5363
88.75,39.9547,26.5363
89,39.9531,26.5363
89,39.9531,26.0526
89,39.9531,25.7439
89.25,39.9517,25.7439
89.5,39.9508,25.7439
89.75,39.9502,26.0263
90,39.9498,26.3372
90,39.9498,26.3372
90,39.9498,26.3372
90.25,39.9499,26.8015
90.5,39.9507,27.2781
90.75,39.9519,27.2781
91,39.9535,27.2781
91,39.9535,27.6835
91,39.9535,28.0894
91.25,39.9553,28.0894
