"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
0,0.703179,0.703179
0.25,0.703653,0.704506
0.5,0.703669,0.705117
0.75,0.703686,0.705549
1,0.703703,0.705856
1,0.703703,0.705856
1,0.703703,0.705856
1.25,0.703769,0.706118
1.5,0.703836,0.706309
1.75,0.703903,0.706449
2,0.70397,0.706553
2,0.70397,0.706553
2,0.70397,0.706553
2.25,0.704054,0.706644
2.5,0.704138,0.706715
2.75,0.704222,0.70677
3,0.704306,0.706813
3,0.704306,0.706813
3,0.704306,0.706813
3.25,0.704356,0.70682
3.5,0.704407,0.706828
3.75,0.704457,0.706836
4,0.704508,0.706845
4,0.704508,0.706845
4,0.704508,0.706845
4.25,0.704625,0.70691
4.5,0.704742,0.706965
4.75,0.70486,0.70701
5,0.704978,0.707049
5,0.704978,0.707049
5,0.704978,0.707049
5.25,0.705012,0.707012
5.5,0.705046,0.706985
5.75,0.70508,0.706968
6,0.705113,0.706958
6,0.705113,0.706958
6,0.705113,0.706958
6.25,0.704847,0.706691
6.5,0.704578,0.706484
6.75,0.704309,0.706323
7,0.70404,0.706194
7,0.70404,0.706194
7,0.70404,0.706194
7.25,0.703938,0.706231
7.5,0.703838,0.706255
7.75,0.703737,0.706266
8,0.703637,0.70627
8,0.703637,0.70627
8,0.703637,0.70627
8.25,0.70362,0.706338
8.5,0.703603,0.706387
8.75,0.703586,0.706421
9,0.703569,0.706445
9,0.703569,0.706445
9,0.703569,0.706445
9.25,0.703636,0.706531
9.5,0.703702,0.706597
9.75,0.703769,0.706649
10,0.703836,0.706689
10,0.703836,0.706689
10,0.703836,0.706689
10.25,0.703953,0.706763
10.5,0.704071,0.706824
10.75,0.704188,0.706873
11,0.704305,0.706915
11,0.704305,0.706915
11,0.704305,0.706915
11.25,0.704356,0.706894
11.5,0.704407,0.706881
11.75,0.704457,0.706874
12,0.704508,0.706871
12,0.704508,0.706871
12,0.704508,0.706871
12.25,0.704591,0.706901
12.5,0.704675,0.706927
12.75,0.704759,0.706951
13,0.704843,0.706971
13,0.704843,0.706971
13,0.704843,0.706971
13.25,0.704844,0.70692
13.5,0.704844,0.706881
13.75,0.704844,0.706853
14,0.704844,0.706833
14,0.704844,0.706833
14,0.704844,0.706833
14.25,0.704778,0.706762
14.5,0.70471,0.706706
14.75,0.704643,0.706662
15,0.704576,0.706627
15,0.704576,0.706627
15,0.704576,0.706627
15.25,0.704509,0.7066
15.5,0.704441,0.706576
15.75,0.704374,0.706555
16,0.704307,0.706537
16,0.704307,0.706537
16,0.704307,0.706537
16.25,0.704207,0.706493
16.5,0.704106,0.706455
16.75,0.704005,0.706423
17,0.703905,0.706395
17,0.703905,0.706395
17,0.703905,0.706395
17.25,0.703871,0.706426
17.5,0.703837,0.706448
17.75,0.703804,0.706463
18,0.70377,0.706471
18,0.70377,0.706471
18,0.70377,0.706471
18.25,0.703753,0.706489
18.5,0.703737,0.706501
18.75,0.70372,0.706509
19,0.703703,0.706515
19,0.703703,0.706515
19,0.703703,0.706515
19.25,0.70367,0.706503
19.5,0.703636,0.706494
19.75,0.703603,0.706485
20,0.70357,0.706477
20,0.70357,0.706477
20,0.70357,0.706477
20.25,0.703536,0.706469
20.5,0.703503,0.706462
20.75,0.703469,0.706455
21,0.703436,0.706449
21,0.703436,0.706449
21,0.703436,0.706449
