time,electrolyser_detailed1.electrochemical.Top,modelA
0,333.15,333.15
0.25,334.166,333.15
0.5,334.882,333.15
0.75,335.385,333.15
1,335.74,333.15
1,335.74,333.15
1,335.74,333.15
1.25,335.98,333.15
1.5,336.134,333.15
1.75,336.226,333.15
2,336.272,333.15
2,336.272,333.15
2,336.272,333.15
2.25,336.284,333.15
2.5,336.27,333.15
2.75,336.237,333.15
3,336.19,333.15
3,336.19,333.15
3,336.19,333.15
3.25,336.137,333.15
3.5,336.086,333.15
3.75,336.035,333.15
4,335.984,333.15
4,335.984,333.15
4,335.984,333.15
4.25,335.924,333.15
4.5,335.849,333.15
4.75,335.763,333.15
5,335.668,333.15
5,335.668,333.15
5,335.668,333.15
5.25,335.58,333.15
5.5,335.506,333.15
5.75,335.444,333.15
6,335.39,333.15
6,335.39,333.15
6,335.39,333.15
6.25,335.386,333.15
6.5,335.456,333.15
6.75,335.582,333.15
7,335.747,333.15
7,335.747,333.15
7,335.747,333.15
7.25,335.916,333.15
7.5,336.065,333.15
7.75,336.201,333.15
8,336.325,333.15
8,336.325,333.15
8,336.325,333.15
8.25,336.43,333.15
8.5,336.511,333.15
8.75,336.574,333.15
9,336.623,333.15
9,336.623,333.15
9,336.623,333.15
9.25,336.649,333.15
9.5,336.651,333.15
9.75,336.633,333.15
10,336.602,333.15
10,336.602,333.15
10,336.602,333.15
10.25,336.553,333.15
10.5,336.486,333.15
10.75,336.406,333.15
11,336.315,333.15
11,336.315,333.15
11,336.315,333.15
11.25,336.228,333.15
11.5,336.151,333.15
11.75,336.081,333.15
12,336.017,333.15
12,336.017,333.15
12,336.017,333.15
12.25,335.952,333.15
12.5,335.883,333.15
12.75,335.81,333.15
13,335.735,333.15
13,335.735,333.15
13,335.735,333.15
13.25,335.67,333.15
13.5,335.622,333.15
13.75,335.588,333.15
14,335.563,333.15
14,335.563,333.15
14,335.563,333.15
14.25,335.556,333.15
14.5,335.568,333.15
14.75,335.596,333.15
15,335.634,333.15
15,335.634,333.15
15,335.634,333.15
15.25,335.681,333.15
15.5,335.733,333.15
15.75,335.789,333.15
16,335.847,333.15
16,335.847,333.15
16,335.847,333.15
16.25,335.914,333.15
16.5,335.989,333.15
16.75,336.071,333.15
17,336.157,333.15
17,336.157,333.15
17,336.157,333.15
17.25,336.237,333.15
17.5,336.304,333.15
17.75,336.362,333.15
18,336.413,333.15
18,336.413,333.15
18,336.413,333.15
18.25,336.455,333.15
18.5,336.491,333.15
18.75,336.521,333.15
19,336.548,333.15
19,336.548,333.15
19,336.548,333.15
19.25,336.574,333.15
19.5,336.602,333.15
19.75,336.631,333.15
20,336.661,333.15
20,336.661,333.15
20,336.661,333.15
20.25,336.693,333.15
20.5,336.724,333.15
20.75,336.756,333.15
21,336.788,333.15
21,336.788,333.15
21,336.788,333.15
21.25,336.818,333.15
21.5,336.844,333.15
21.75,336.868,333.15
22,336.889,333.15
22,336.889,333.15
22,336.889,333.15
22.25,336.909,333.15
22.5,336.928,333.15
22.75,336.946,333.15
23,336.964,333.15
23,336.964,333.15
23,336.964,333.15
23.25,336.923,333.15
23.5,336.788,333.15
23.75,336.584,333.15
24,336.332,333.15
24,336.332,333.15
24,336.332,333.15
24.25,336.095,333.15
24.5,335.914,333.15
24.75,335.775,333.15
25,335.666,333.15
25,335.666,333.15
25,335.666,333.15
25.25,335.583,333.15
25.5,335.523,333.15
25.75,335.479,333.15
26,335.448,333.15
26,335.448,333.15
26,335.448,333.15
26.25,335.428,333.15
26.5,335.419,333.15
26.75,335.416,333.15
27,335.419,333.15
27,335.419,333.15
27,335.419,333.15
27.25,335.423,333.15
27.5,335.426,333.15
27.75,335.429,333.15
28,335.43,333.15
28,335.43,333.15
28,335.43,333.15
28.25,335.424,333.15
28.5,335.406,333.15
28.75,335.379,333.15
29,335.346,333.15
29,335.346,333.15
29,335.346,333.15
29.25,335.311,333.15
29.5,335.276,333.15
29.75,335.242,333.15
30,335.208,333.15
30,335.208,333.15
30,335.208,333.15
30.25,335.182,333.15
30.5,335.167,333.15
30.75,335.161,333.15
31,335.161,333.15
31,335.161,333.15
31,335.161,333.15
31.25,335.158,333.15
31.5,335.147,333.15
31.75,335.131,333.15
32,335.109,333.15
32,335.109,333.15
32,335.109,333.15
32.25,335.087,333.15
32.5,335.067,333.15
32.75,335.047,333.15
33,335.028,333.15
33,335.028,333.15
33,335.028,333.15
33.25,335.016,333.15
33.5,335.011,333.15
33.75,335.011,333.15
34,335.016,333.15
34,335.016,333.15
34,335.016,333.15
34.25,335.02,333.15
34.5,335.018,333.15
34.75,335.012,333.15
35,335.003,333.15
35,335.003,333.15
35,335.003,333.15
35.25,335.002,333.15
35.5,335.014,333.15
35.75,335.037,333.15
36,335.068,333.15
36,335.068,333.15
36,335.068,333.15
36.25,335.081,333.15
36.5,335.064,333.15
36.75,335.024,333.15
37,334.968,333.15
37,334.968,333.15
37,334.968,333.15
37.25,334.909,333.15
37.5,334.858,333.15
37.75,334.811,333.15
38,334.768,333.15
38,334.768,333.15
38,334.768,333.15
38.25,334.733,333.15
38.5,334.707,333.15
38.75,334.688,333.15
39,334.675,333.15
39,334.675,333.15
39,334.675,333.15
39.25,334.678,333.15
39.5,334.702,333.15
39.75,334.743,333.15
40,334.796,333.15
40,334.796,333.15
40,334.796,333.15
40.25,334.85,333.15
40.5,334.898,333.15
40.75,334.942,333.15
41,334.983,333.15
41,334.983,333.15
41,334.983,333.15
41.25,335.042,333.15
41.5,335.129,333.15
41.75,335.239,333.15
42,335.365,333.15
42,335.365,333.15
42,335.365,333.15
42.25,335.502,333.15
42.5,335.647,333.15
42.75,335.798,333.15
43,335.953,333.15
43,335.953,333.15
43,335.953,333.15
43.25,336.093,333.15
43.5,336.209,333.15
43.75,336.305,333.15
44,336.388,333.15
44,336.388,333.15
44,336.388,333.15
44.25,336.464,333.15
44.5,336.537,333.15
44.75,336.608,333.15
45,336.678,333.15
45,336.678,333.15
45,336.678,333.15
45.25,336.754,333.15
45.5,336.841,333.15
45.75,336.936,333.15
46,337.036,333.15
46,337.036,333.15
46,337.036,333.15
46.25,337.142,333.15
46.5,337.25,333.15
46.75,337.359,333.15
47,337.471,333.15
47,337.471,333.15
47,337.471,333.15
47.25,337.561,333.15
47.5,337.617,333.15
47.75,337.647,333.15
48,337.659,333.15
48,337.659,333.15
48,337.659,333.15
48.25,337.658,333.15
48.5,337.648,333.15
48.75,337.632,333.15
