"time","hp2.Pelec"
0,40
0.0161928,42
0.0161928,42
0.0190915,47.1822
0.0190915,47.1822
0.5,44.9309
1,44.817
1,44.817
1,44.817
1.5,44.3846
2,43.9337
2,43.9337
2,43.9337
2.5,43.3818
3,42.828
3,42.828
3,42.828
3.5,42.4847
4,42.157
4,42.157
4,42.157
4.5,41.425
5,40.6766
5,40.6766
5,40.6766
5.5,40.4332
6,40.2223
6,40.2223
6,40.2223
6.5,41.8148
7,43.57
7,43.57
7,43.57
7.5,44.3131
8,44.9939
8,44.9939
8,44.9939
8.5,45.1448
9,45.2594
9,45.2594
9,45.2594
9.5,44.8387
10,44.3846
10,44.3846
10,44.3846
10.5,43.6187
11,42.8416
11,42.8416
11,42.8416
11.5,42.4847
12,42.157
12,42.157
12,42.157
12.5,41.6277
13,41.0904
13,41.0904
13,41.0904
13.5,41.0583
14,41.0583
14,41.0583
14,41.0583
14.5,41.4614
15,41.8933
15,41.8933
15,41.8933
15.5,42.3285
16,42.7668
16,42.7668
16,42.7668
16.5,43.4169
17,44.0877
17,44.0877
17,44.0877
17.5,44.3416
18,44.5679
18,44.5679
18,44.5679
18.5,44.6887
19,44.8023
19,44.8023
19,44.8023
19.5,45.0232
20,45.2519
20,45.2519
20,45.2519
20.5,45.4817
21,45.7123
21,45.7123
21,45.7123
21.5,45.8354
22,45.9512
22,45.9512
22,45.9512
22.5,46.0673
23,46.1835
23,46.1835
23,46.1835
23.5,43.7309
24,41.2058
24,41.2058
24,41.2058
24.5,40.8576
25,40.6451
25,40.6451
25,40.6451
25.5,40.6324
26,40.6324
26,40.6324
26,40.6324
26.5,40.7323
27,40.8386
27,40.8386
27,40.8386
27.5,40.8449
28,40.8449
28,40.8449
28,40.8449
28.5,40.5453
29,40.2285
29,40.2285
29,40.2285
29.5,40.0119
30,39.8026
30,39.8026
30,39.8026
30.5,39.8888
31,39.9935
31,39.9935
31,39.9935
31.5,39.8025
32,39.594
32,39.594
32,39.594
32.5,39.4838
33,39.3801
33,39.3801
33,39.3801
33.5,39.4718
34,39.5757
34,39.5757
34,39.5757
34.5,39.4838
35,39.38
35,39.38
35,39.38
35.5,39.6677
36,39.9812
36,39.9812
36,39.9812
36.5,39.41
37,38.7907
37,38.7907
37,38.7907
