"time","hP_with_boiler.Pelec"
0,28
0.00310021,30
0.00310021,30
0.00871077,47.3464
0.00871077,47.3464
0.25,41.3759
0.5,41.3359
0.75,41.296
1,41.2562
1,41.2562
1,41.2562
1.25,41.1062
1.5,40.9476
1.75,40.7898
2,40.6325
2,40.6325
2,40.6325
2.25,40.4398
2.5,40.245
2.75,40.0513
3,39.8586
3,39.8586
3,39.8586
3.25,39.7378
3.5,39.623
3.75,39.5085
4,39.3944
4,39.3944
4,39.3944
4.25,39.1404
4.5,38.8773
4.75,38.616
5,38.3567
5,38.3567
5,38.3567
5.25,38.2701
5.5,38.1965
5.75,38.1232
6,38.0499
6,38.0499
6,38.0499
6.25,38.5931
6.5,39.1914
6.75,39.7995
7,40.4177
7,40.4177
7,40.4177
7.25,40.6815
7.5,40.9177
7.75,41.1554
8,41.3944
8,41.3944
8,41.3944
8.25,41.4498
8.5,41.4898
8.75,41.5299
9,41.57
9,41.57
9,41.57
9.25,41.4251
9.5,41.2653
9.75,41.1062
10,40.9478
10,40.9478
10,40.9478
10.25,40.6806
10.5,40.4065
10.75,40.1344
11,39.8642
11,39.8642
11,39.8642
11.25,39.7378
11.5,39.623
11.75,39.5085
12,39.3944
12,39.3944
12,39.3944
12.25,39.2105
12.5,39.022
12.75,38.8345
13,38.648
13,38.648
13,38.648
13.25,38.6349
13.5,38.6349
13.75,38.6349
14,38.6349
14,38.6349
14,38.6349
14.25,38.7733
14.5,38.9229
14.75,39.0731
15,39.2238
15,39.2238
15,39.2238
15.25,39.3753
15.5,39.5273
15.75,39.6799
16,39.8332
16,39.8332
16,39.8332
16.25,40.0586
16.5,40.291
16.75,40.5248
17,40.76
17,40.76
17,40.76
17.25,40.8507
17.5,40.9297
17.75,41.0088
18,41.088
18,41.088
18,41.088
18.25,41.1307
18.5,41.1705
18.75,41.2103
19,41.2501
19,41.2501
19,41.2501
19.25,41.3268
19.5,41.4067
19.75,41.4867
20,41.5669
20,41.5669
20,41.5669
20.25,41.6473
20.5,41.7279
20.75,41.8086
21,41.8893
21,41.8893
21,41.8893
21.25,41.9331
21.5,41.9736
21.75,42.0142
22,42.0548
22,42.0548
22,42.0548
22.25,42.0955
22.5,42.1362
22.75,42.1769
23,42.2177
23,42.2177
23,42.2177
23.25,41.3635
23.5,40.4532
23.75,39.5639
24,38.6953
24,38.6953
24,38.6953
24.25,38.5658
24.5,38.4916
24.75,38.4176
25,38.3438
25,38.3438
25,38.3438
25.25,38.3386
25.5,38.3386
25.75,38.3386
26,38.3386
26,38.3386
26,38.3386
26.25,38.3729
26.5,38.4099
26.75,38.4468
27,38.4838
27,38.4838
27,38.4838
27.25,38.4864
27.5,38.4864
27.75,38.4864
28,38.4864
28,38.4864
28,38.4864
28.25,38.3833
28.5,38.2727
28.75,38.1624
29,38.0525
29,38.0525
29,38.0525
29.25,37.9768
29.5,37.9039
29.75,37.8311
30,37.7585
30,37.7585
30,37.7585
30.25,37.7873
30.5,37.8236
30.75,37.86
31,37.8963
31,37.8963
31,37.8963
31.25,37.8311
31.5,37.7585
31.75,37.686
32,37.6137
32,37.6137
32,37.6137
32.25,37.5751
32.5,37.5391
32.75,37.503
33,37.467
33,37.467
33,37.467
33.25,37.4981
33.5,37.5342
33.75,37.5702
34,37.6063
34,37.6063
34,37.6063
34.25,37.5751
34.5,37.5391
34.75,37.503
35,37.4671
35,37.4671
35,37.4671
35.25,37.5653
35.5,37.6737
35.75,37.7823
36,37.8914
36,37.8914
36,37.8914
36.25,37.6959
36.5,37.4792
36.75,37.2639
37,37.0501
37,37.0501
37,37.0501
37.25,36.9695
37.5,36.8987
37.75,36.8281
38,36.7575
38,36.7575
38,36.7575
38.25,36.7529
38.5,36.7529
38.75,36.7529
39,36.7529
39,36.7529
39,36.7529
39.25,36.9177
39.5,37.095
39.75,37.2732
40,37.4524
40,37.4524
40,37.4524
40.25,37.5317
40.5,37.6038
40.75,37.6761
41,37.7485
41,37.7485
41,37.7485
41.25,38.0927
41.5,38.4605
41.75,38.8321
42,39.2076
42,39.2076
42,39.2076
42.25,39.5869
42.5,39.9701
42.75,40.3572
43,40.7482
43,40.7482
43,40.7482
43.25,40.8872
43.5,41.0058
43.75,41.1247
44,41.2438
44,41.2438
44,41.2438
44.25,41.4005
44.5,41.5608
44.75,41.7216
45,41.8831
45,41.8831
45,41.8831
45.25,42.1577
45.5,42.4437
45.75,42.7317
46,43.0217
46,43.0217
46,43.0217
46.25,43.3137
46.5,43.6077
46.75,43.9037
47,44.2017
47,44.2017
47,44.2017
47.25,44.1482
47.5,44.0629
47.75,43.9778
48,43.8929
48,43.8929
48,43.8929
48.25,43.8079
48.5,43.7232
48.75,43.6387
49,43.5546
49,43.5546
49,43.5546
49.25,43.7413
49.5,43.9532
49.75,44.1662
