,time,demand
0,0,0.001
1,300,0.001
2,600,0.001
3,900,0.001
4,1200,0.0012
5,1500,0.0012
6,1800,0.0012
7,2100,0.0015
8,2400,0.0015
9,2700,0.0015
10,3000,0.0015
11,3300,0.0016
12,3600,0.0016
13,3900,0.0016
14,4200,0.0018
15,4500,0.0018
16,4800,0.0018
17,5100,0.0018
18,5400,0.002
19,5700,0.002
20,6000,0.002
21,6300,0.0015
22,6600,0.0015
23,6900,0.0015
24,7200,0.0015
25,7500,0.001
26,7800,0.001
27,8100,0.001
28,8400,0.001
29,8700,0.001
30,9000,0.0016
31,9300,0.0016
32,9600,0.0016
33,9900,0.0016
34,10200,0
35,10500,0
36,10800,0
37,11100,0
38,11400,0
39,11700,0
40,12000,0
41,12300,0
42,12600,0
43,12900,0
44,13200,0
45,13500,0.0016
46,13800,0.0016
47,14100,0.0016
48,14400,0.0016
49,14700,0.0016
50,15000,0.0016
51,15300,0.0016
52,15600,0.0016
53,15900,0.0016
54,16200,0.0016
55,16500,0.0016
56,16800,0.0016
57,17100,0.0016
58,17400,0.0016
59,17700,0.0016
60,18000,0.0016
61,18300,0.0016
62,18600,0.0016
63,18900,0.0016
64,19200,0.0016
65,19500,0.0016
66,19800,0.0016
67,20100,0.0016
68,20400,0.0016
69,20700,0.0016
70,21000,0.0016
71,21300,0
72,21600,0
73,21900,0
74,22200,0
75,22500,0
76,22800,0
77,23100,0
78,23400,0
79,23700,0
80,24000,0
81,24300,0
82,24600,0
83,24900,0
84,25200,0
85,25500,0
86,25800,0
87,26100,0
88,26400,0
89,26700,0
90,27000,0
91,27300,0
92,27600,0
93,27900,0
94,28200,0
95,28500,0
