#1	
double tab1(192,2)	
0	0
3600	0
7200	0
10800	0
14400	0
18000	0
21600	0
25200	0
28800	0.291983
32400	5.718923
36000	15.337419
39600	43.767656
43200	69.304444
46800	68.046914
50400	58.793726
54000	37.387539
57600	8.831553
61200	0
64800	0
68400	0
72000	0
75600	0
79200	0
82800	0
86400	0
90000	0
93600	0
97200	0
100800	0
104400	0
108000	0
111600	1.816785
115200	6.871221
118800	17.31858
122400	27.314793
126000	32.821879
129600	43.796938
133200	53.617628
136800	49.577106
140400	40.423999
144000	25.787706
147600	10.674833
151200	2.161488
154800	0
158400	0
162000	0
165600	0
169200	0
172800	0
176400	0
180000	0
183600	0
187200	0
190800	0
194400	1.133936
198000	9.059934
201600	19.523916
205200	32.100078
208800	40.728161
212400	44.094185
216000	47.254563
219600	48.6245
223200	66.037782
226800	65.517127
230400	69.020134
234000	60.238669
237600	52.116871
241200	20.423694
244800	6.726103
248400	0
252000	0
255600	0
259200	0
262800	0
266400	0
270000	0
273600	0
277200	1.319422
280800	28.059453
284400	55.175157
288000	68.630187
291600	73.960699
295200	75.949034
298800	76.473695
302400	79.906414
306000	82.589026
309600	83.392126
313200	80.710341
316800	76.771579
320400	71.310144
324000	56.567394
327600	28.313547
331200	8.406849
334800	0.710453
338400	0
342000	0
345600	0
349200	0
352800	0
356400	0
360000	0
363600	0
367200	6.131878
370800	32.616535
374400	57.877971
378000	71.421408
381600	78.620469
385200	82.635249
388800	84.398683
392400	85.113818
396000	84.351829
399600	82.807878
403200	79.625623
406800	74.116278
410400	64.261721
414000	46.923725
417600	17.515946
421200	0
424800	0
428400	0
432000	0
435600	0
439200	0
442800	0
446400	0
450000	0
453600	0
457200	0
460800	2.462303
464400	9.680163
468000	17.168832
471600	30.349142
475200	56.53102
478800	75.573886
482400	78.800828
486000	79.787169
489600	77.484171
493200	67.067936
496800	43.352895
500400	7.967569
504000	0
507600	0
511200	0
514800	0
518400	0
522000	0
525600	0
529200	0
532800	0
536400	0
540000	0
543600	0
547200	0.026135
550800	1.112383
554400	1.993581
558000	2.42823
561600	2.954324
565200	3.757545
568800	4.91763
572400	5.363456
576000	4.976757
579600	0
583200	0
586800	0
590400	0
594000	0
597600	0
601200	0
604800	0
608400	0
612000	0
615600	0
619200	0
622800	0
626400	0
630000	0
633600	0
637200	0.714301
640800	2.855208
644400	3.496021
648000	5.156988
651600	11.045929
655200	17.395415
658800	14.964246
662400	0.72125
666000	0
669600	0
673200	0
676800	0
680400	0
684000	0
687600	0
