#1	
double tab1(192,2)	
0	1.955
3600	1.9525
7200	1.9425
10800	1.93
14400	1.9225
18000	1.905
21600	1.9
25200	1.94
28800	1.955
32400	1.9575
36000	1.9475
39600	1.93
43200	1.9225
46800	1.91
50400	1.91
54000	1.92
57600	1.93
61200	1.945
64800	1.95
68400	1.9525
72000	1.9575
75600	1.9625
79200	1.965
82800	1.9675
86400	1.91
90000	1.905
93600	1.905
97200	1.9075
100800	1.9075
104400	1.9
108000	1.895
111600	1.8975
115200	1.8925
118800	1.89
122400	1.8925
126000	1.89
129600	1.8975
133200	1.8825
136800	1.8775
140400	1.8775
144000	1.89
147600	1.895
151200	1.92
154800	1.945
158400	1.9525
162000	1.9625
165600	1.98
169200	1.9975
172800	1.9925
176400	1.9875
180000	2
183600	1.9975
187200	2.0025
190800	2.0025
194400	1.9925
198000	1.9725
201600	1.925
205200	1.8925
208800	1.8375
212400	1.8675
216000	1.8125
219600	1.7875
223200	1.8075
226800	1.775
230400	1.76
234000	1.765
237600	1.76
241200	1.7725
244800	1.7875
248400	1.82
252000	1.845
255600	1.8475
259200	1.71
262800	1.7
266400	1.71
270000	1.725
273600	1.7375
277200	1.75
280800	1.7525
284400	1.7175
288000	1.68
291600	1.6275
295200	1.57
298800	1.515
302400	1.5425
306000	1.555
309600	1.52
313200	1.525
316800	1.5
320400	1.5
324000	1.5
327600	1.5
331200	1.5
334800	1.5
338400	1.5025
342000	1.52
345600	1.66
349200	1.6575
352800	1.665
356400	1.6625
360000	1.6675
363600	1.675
367200	1.675
370800	1.695
374400	1.6725
378000	1.6575
381600	1.645
385200	1.6225
388800	1.615
392400	1.6825
396000	1.6225
399600	1.5825
403200	1.58
406800	1.5775
410400	1.5875
414000	1.605
417600	1.63
421200	1.65
424800	1.65
428400	1.6525
432000	1.7225
435600	1.725
439200	1.7275
442800	1.7275
446400	1.73
450000	1.7325
453600	1.73
457200	1.7325
460800	1.7325
464400	1.7325
468000	1.725
471600	1.7225
475200	1.6825
478800	1.705
482400	1.6775
486000	1.6475
489600	1.6475
493200	1.665
496800	1.66
500400	1.6875
504000	1.735
507600	1.75
511200	1.78
514800	1.73
518400	1.9475
522000	1.955
525600	1.9725
529200	1.97
532800	1.9725
536400	1.945
540000	1.935
543600	1.925
547200	1.9325
550800	1.9175
554400	1.9075
558000	1.9075
561600	1.9075
565200	1.9175
568800	1.915
572400	1.9225
576000	1.9175
579600	1.905
583200	1.895
586800	1.9275
590400	1.94
594000	1.945
597600	1.9525
601200	1.9625
604800	1.91
608400	1.9075
612000	1.9025
615600	1.9075
619200	1.915
622800	1.92
626400	1.915
630000	1.9375
633600	1.94
637200	1.9175
640800	1.9225
644400	1.9175
648000	1.9125
651600	1.905
655200	1.905
658800	1.9025
662400	1.915
666000	1.915
669600	1.92
673200	1.9225
676800	1.9125
680400	1.9
684000	1.91
687600	1.925
