#1	
double tab1(192,2)	
0	4.82000
3600	4.81000
7200	4.77000
10800	4.72000
14400	4.69000
18000	4.62000
21600	4.60000
25200	4.76000
28800	4.82000
32400	4.83000
36000	4.79000
39600	4.72000
43200	4.69000
46800	4.64000
50400	4.64000
54000	4.68000
57600	4.72000
61200	4.78000
64800	4.80000
68400	4.81000
72000	4.83000
75600	4.85000
79200	4.86000
82800	4.87000
86400	4.64000
90000	4.62000
93600	4.62000
97200	4.63000
100800	4.63000
104400	4.60000
108000	4.58000
111600	4.59000
115200	4.57000
118800	4.56000
122400	4.57000
126000	4.56000
129600	4.59000
133200	4.53000
136800	4.51000
140400	4.51000
144000	4.56000
147600	4.58000
151200	4.68000
154800	4.78000
158400	4.81000
162000	4.85000
165600	4.92000
169200	4.99000
172800	4.97000
176400	4.95000
180000	5.00000
183600	4.99000
187200	5.01000
190800	5.01000
194400	4.97000
198000	4.89000
201600	4.70000
205200	4.57000
208800	4.35000
212400	4.47000
216000	4.25000
219600	4.15000
223200	4.23000
226800	4.10000
230400	4.04000
234000	4.06000
237600	4.04000
241200	4.09000
244800	4.15000
248400	4.28000
252000	4.38000
255600	4.39000
259200	3.84000
262800	3.80000
266400	3.84000
270000	3.90000
273600	3.95000
277200	4.00000
280800	4.01000
284400	3.87000
288000	3.72000
291600	3.51000
295200	3.28000
298800	3.06000
302400	3.17000
306000	3.22000
309600	3.08000
313200	3.10000
316800	3.00000
320400	3.00000
324000	3.00000
327600	3.00000
331200	3.00000
334800	3.00000
338400	3.01000
342000	3.08000
345600	3.64000
349200	3.63000
352800	3.66000
356400	3.65000
360000	3.67000
363600	3.70000
367200	3.70000
370800	3.78000
374400	3.69000
378000	3.63000
381600	3.58000
385200	3.49000
388800	3.46000
392400	3.73000
396000	3.49000
399600	3.33000
403200	3.32000
406800	3.31000
410400	3.35000
414000	3.42000
417600	3.52000
421200	3.60000
424800	3.60000
428400	3.61000
432000	3.89000
435600	3.90000
439200	3.91000
442800	3.91000
446400	3.92000
450000	3.93000
453600	3.92000
457200	3.93000
460800	3.93000
464400	3.93000
468000	3.90000
471600	3.89000
475200	3.73000
478800	3.82000
482400	3.71000
486000	3.59000
489600	3.59000
493200	3.66000
496800	3.64000
500400	3.75000
504000	3.94000
507600	4.00000
511200	4.12000
514800	3.92000
518400	4.79000
522000	4.82000
525600	4.89000
529200	4.88000
532800	4.89000
536400	4.78000
540000	4.74000
543600	4.70000
547200	4.73000
550800	4.67000
554400	4.63000
558000	4.63000
561600	4.63000
565200	4.67000
568800	4.66000
572400	4.69000
576000	4.67000
579600	4.62000
583200	4.58000
586800	4.71000
590400	4.76000
594000	4.78000
597600	4.81000
601200	4.85000
604800	4.64000
608400	4.63000
612000	4.61000
615600	4.63000
619200	4.66000
622800	4.68000
626400	4.66000
630000	4.75000
633600	4.76000
637200	4.67000
640800	4.69000
644400	4.67000
648000	4.65000
651600	4.62000
655200	4.62000
658800	4.61000
662400	4.66000
666000	4.66000
669600	4.68000
673200	4.69000
676800	4.65000
680400	4.60000
684000	4.64000
687600	4.70000
