"time","hp1.COP","hp2.COP","hP_with_boiler.COP"
0,4.19641,4.1399,6.8993
0.0221601,4.19641,4.14004,6.90956
0.0221601,4.19641,4.14004,6.91985
0.0237755,4.19641,4.14007,6.91985
0.0237755,4.19641,4.14007,6.91985
0.5,4.19641,4.14421,6.96129
1,4.19641,4.14852,7.00318
1,4.19641,4.14852,7.00318
1,4.19641,4.14852,7.00318
1.5,4.19641,4.16584,7.05621
2,4.19641,4.18326,7.10998
2,4.19641,4.18326,7.10998
2,4.19641,4.18326,7.10998
2.5,4.19641,4.20521,7.1426
3,4.19641,4.22734,7.1755
3,4.19641,4.22734,7.1755
3,4.19641,4.22734,7.1755
3.5,4.19641,4.24071,7.25335
4,4.19641,4.25414,7.33277
4,4.19641,4.25414,7.33277
4,4.19641,4.25414,7.33277
4.5,4.19641,4.28575,7.35575
5,4.19641,4.31773,7.37887
5,4.19641,4.31773,7.37887
5,4.19641,4.31773,7.37887
5.5,4.19641,4.32694,7.19758
6,4.19641,4.33618,7.02431
6,4.19641,4.33618,7.02431
6,4.19641,4.33618,7.02431
6.5,4.19641,4.26314,6.96129
7,4.19641,4.19202,6.8993
7,4.19641,4.19202,6.8993
7,4.19641,4.19202,6.8993
7.5,4.19641,4.16584,6.88906
8,4.19641,4.1399,6.87886
8,4.19641,4.1399,6.87886
8,4.19641,4.1399,6.87886
8.5,4.19641,4.13561,6.91985
9,4.19641,4.13132,6.96129
9,4.19641,4.13132,6.96129
9,4.19641,4.13132,6.96129
9.5,4.19641,4.14852,7.03491
10,4.19641,4.16584,7.10998
10,4.19641,4.16584,7.10998
10,4.19641,4.16584,7.10998
10.5,4.19641,4.19641,7.1426
11,4.19641,4.22734,7.1755
11,4.19641,4.22734,7.1755
11,4.19641,4.22734,7.1755
11.5,4.19641,4.24071,7.23095
12,4.19641,4.25414,7.28719
12,4.19641,4.25414,7.28719
12,4.19641,4.25414,7.28719
12.5,4.19641,4.27668,7.28719
13,4.19641,4.29941,7.28719
13,4.19641,4.29941,7.28719
13,4.19641,4.29941,7.28719
13.5,4.19641,4.29941,7.24213
14,4.19641,4.29941,7.19758
14,4.19641,4.29941,7.19758
14,4.19641,4.29941,7.19758
14.5,4.19641,4.28121,7.15353
15,4.19641,4.26314,7.10998
15,4.19641,4.26314,7.10998
15,4.19641,4.26314,7.10998
15.5,4.19641,4.24518,7.04554
16,4.19641,4.22734,6.98218
16,4.19641,4.22734,6.98218
16,4.19641,4.22734,6.98218
16.5,4.19641,4.20081,6.96129
17,4.19641,4.17454,6.94051
17,4.19641,4.17454,6.94051
17,4.19641,4.17454,6.94051
17.5,4.19641,4.16584,6.93016
18,4.19641,4.15716,6.91985
18,4.19641,4.15716,6.91985
18,4.19641,4.15716,6.91985
18.5,4.19641,4.15284,6.8993
19,4.19641,4.14852,6.87886
19,4.19641,4.14852,6.87886
19,4.19641,4.14852,6.87886
19.5,4.19641,4.1399,6.85853
20,4.19641,4.13132,6.83831
20,4.19641,4.13132,6.83831
20,4.19641,4.13132,6.83831
20.5,4.19641,4.12276,6.82824
21,4.19641,4.11423,6.8182
21,4.19641,4.11423,6.8182
21,4.19641,4.11423,6.8182
21.5,4.19641,4.10997,6.80818
22,4.19641,4.10572,6.7982
22,4.19641,4.10572,6.7982
22,4.19641,4.10572,6.7982
22.5,4.19641,4.10148,7.03491
23,4.19641,4.09724,7.28719
23,4.19641,4.09724,7.28719
23,4.19641,4.09724,7.28719
23.5,4.24518,4.19641,7.30991
24,4.29485,4.29941,7.33277
24,4.29485,4.29941,7.33277
24,4.29485,4.29941,7.33277
24.5,4.29485,4.30856,7.33277
25,4.29485,4.31773,7.33277
25,4.29485,4.31773,7.33277
25,4.29485,4.31773,7.33277
25.5,4.29485,4.31773,7.32132
26,4.29485,4.31773,7.30991
26,4.29485,4.31773,7.30991
26,4.29485,4.31773,7.30991
26.5,4.29485,4.31314,7.30991
27,4.29485,4.30856,7.30991
27,4.29485,4.30856,7.30991
27,4.29485,4.30856,7.30991
27.5,4.29485,4.30856,7.34424
28,4.29485,4.30856,7.37887
28,4.29485,4.30856,7.37887
28,4.29485,4.30856,7.37887
28.5,4.29485,4.32233,7.40212
29,4.29485,4.33618,7.42551
29,4.29485,4.33618,7.42551
29,4.29485,4.33618,7.42551
29.5,4.29485,4.34545,7.4138
30,4.29485,4.35475,7.40212
30,4.29485,4.35475,7.40212
30,4.29485,4.35475,7.40212
30.5,4.29485,4.3501,7.42551
31,4.29485,4.34545,7.44903
31,4.29485,4.34545,7.44903
31,4.29485,4.34545,7.44903
31.5,4.29485,4.35475,7.46084
32,4.29485,4.36409,7.47269
32,4.29485,4.36409,7.47269
32,4.29485,4.36409,7.47269
32.5,4.29485,4.36877,7.46084
33,4.29485,4.37345,7.44903
33,4.29485,4.37345,7.44903
33,4.29485,4.37345,7.44903
33.5,4.29485,4.36877,7.46084
34,4.29485,4.36409,7.47269
34,4.29485,4.36409,7.47269
34,4.29485,4.36409,7.47269
34.5,4.29485,4.36877,7.43725
35,4.29485,4.37345,7.40212
35,4.29485,4.37345,7.40212
35,4.29485,4.37345,7.40212
35.5,4.29485,4.35942,7.47269
36,4.29485,4.34545,7.54449
36,4.29485,4.34545,7.54449
36,4.29485,4.34545,7.54449
36.5,4.29485,4.37345,7.56871
37,4.29485,4.40174,7.59307
37,4.29485,4.40174,7.59307
37,4.29485,4.40174,7.59307
37.5,4.29485,4.41124,7.59307
38,4.29485,4.42077,7.59307
38,4.29485,4.42077,7.59307
38,4.29485,4.42077,7.59307
38.5,4.29485,4.42077,7.53244
39,4.29485,4.42077,7.47269
39,4.29485,4.42077,7.47269
39,4.29485,4.42077,7.47269
39.5,4.29485,4.39701,7.44903
40,4.29485,4.37345,7.42551
40,4.29485,4.37345,7.42551
40,4.29485,4.37345,7.42551
40.5,4.29485,4.36409,7.30991
41,4.29485,4.35475,7.19758
41,4.29485,4.35475,7.19758
41,4.29485,4.35475,7.19758
41.5,4.29485,4.30856,7.08838
42,4.29485,4.26314,6.98218
42,4.29485,4.26314,6.98218
42,4.29485,4.26314,6.98218
42.5,4.29485,4.21847,6.95088
43,4.29485,4.17454,6.91985
43,4.29485,4.17454,6.91985
43,4.29485,4.17454,6.91985
43.5,4.29485,4.1615,6.87886
44,4.29485,4.14852,6.83831
44,4.29485,4.14852,6.83831
44,4.29485,4.14852,6.83831
44.5,4.29485,4.13132,6.76839
45,4.29485,4.11423,6.69977
45,4.29485,4.11423,6.69977
45,4.29485,4.11423,6.69977
45.5,4.29485,4.08458,6.63241
46,4.29485,4.0598,6.59316
46,4.29485,4.0598,6.59316
46,4.29485,4.05979,6.59316
46.5,4.29485,4.05979,6.59316
47,4.29485,4.05661,6.58604
47,4.29485,4.05661,6.58604
47,4.29485,4.0566,6.58604
47.5,4.36082,4.0566,6.58604
48,4.42842,4.05527,6.57927
48,4.42842,4.05527,6.57927
48,4.42842,4.05527,6.57927
48.5,4.42842,4.05438,6.57927
49,4.42842,4.05438,6.57255
49,4.42842,4.05438,6.57255
49,4.42842,4.05438,6.57255
49.5,4.42842,4.05251,6.57255
50,4.42842,4.05251,6.56627
50,4.42842,4.05251,6.56627
50,4.42842,4.05251,6.56627
50.5,4.42842,4.05079,6.56641
51,4.42842,4.05079,6.56641
51,4.42842,4.05078,6.56641
51,4.42842,4.05078,6.56641
51.5,4.42842,4.04913,6.58504
52,4.42842,4.04913,6.60391
52,4.42842,4.04913,6.60391
52,4.42842,4.04913,6.60391
52.5,4.42842,4.04751,6.62289
53,4.42842,4.04751,6.64196
53,4.42842,4.04751,6.64196
53,4.42842,4.04751,6.64196
53.5,4.42842,4.04592,6.59447
54,4.42842,4.04592,6.56011
54,4.42842,4.04591,6.56011
54,4.42842,4.04591,6.5601
54.5,4.42842,4.04434,6.5601
55,4.42842,4.04434,6.55392
55,4.42842,4.04433,6.55392
55,4.42842,4.04433,6.55392
55.5,4.42842,4.04277,6.55392
56,4.42842,4.04277,6.54787
56,4.42842,4.04276,6.54787
56,4.42842,4.04276,6.54787
56.5,4.42842,4.04121,6.54787
57,4.42842,4.04121,6.54759
57,4.42842,4.04121,6.54759
57,4.42842,4.04121,6.54759
57.5,4.42842,4.03967,6.55692
58,4.42842,4.03967,6.56627
58,4.42842,4.03966,6.56627
58,4.42842,4.03966,6.56627
58.5,4.42842,4.03813,6.54759
59,4.42842,4.03813,6.54273
59,4.42842,4.03813,6.54273
59,4.42842,4.03813,6.54273
59.5,4.42842,4.03661,6.54273
60,4.42842,4.03661,6.53786
60,4.42842,4.03661,6.53786
60,4.42842,4.03661,6.53786
60.5,4.42842,4.0351,6.53786
61,4.42842,4.0351,6.53301
61,4.42842,4.0351,6.53301
61,4.42842,4.0351,6.53301
61.5,4.42842,4.0336,6.53301
62,4.42842,4.0336,6.52901
62,4.42842,4.0336,6.52901
62,4.42842,4.0336,6.52901
62.5,4.42842,4.03212,6.52901
63,4.42842,4.03212,6.52901
63,4.42842,4.03211,6.52901
63,4.42842,4.03211,6.52901
63.5,4.42842,4.03064,6.56627
64,4.42842,4.03064,6.60391
64,4.42842,4.03064,6.60391
64,4.42842,4.03064,6.60391
64.5,4.42842,4.02917,6.6804
65,4.42842,4.02917,6.75851
65,4.42842,4.02917,6.75851
65,4.42842,4.02917,6.75851
65.5,4.42842,4.02772,6.95088
66,4.42842,4.02772,7.15353
66,4.42842,4.02772,7.15353
66,4.42842,4.02772,7.15353
66.5,4.42842,4.02629,7.29854
67,4.42842,4.02627,7.44903
67,4.42842,4.02627,7.44903
67,4.42842,4.02627,7.44903
67.5,4.42842,4.02627,7.61758
68,4.42842,4.02484,4.43033
68,4.42842,4.02484,4.43465
68,4.42842,4.02484,4.43465
68.5,4.42842,4.02484,4.43527
69,4.42842,4.02342,4.43527
69,4.42842,4.02342,4.46891
69,4.42842,4.02341,4.57788
69.5,4.42842,4.02341,4.57788
70,4.42842,4.022,4.57788
70,4.42842,4.022,4.51791
70,4.42842,4.022,4.45922
70.5,4.42842,4.022,4.45922
71,4.42842,4.0206,4.45922
71,4.42842,4.0206,4.5678
71,4.42842,4.0206,4.68079
71.5,5.05877,4.0206,4.68079
72,5.86609,4.01921,4.68079
72,5.86609,4.01921,4.7337
72,5.86609,4.01921,4.78762
72.5,5.86609,4.01921,4.78762
73,5.86609,4.01784,4.78762
73,5.86609,4.01784,4.7444
73,5.86609,4.01783,4.70183
73.5,5.86609,4.01783,4.70183
74,5.86609,4.01647,4.70183
74,5.86609,4.01647,4.77133
74,5.86609,4.01647,4.84259
74.5,5.86609,4.01647,4.84259
75,5.86609,4.01512,4.84259
75,5.86609,4.01512,4.8761
75,5.86609,4.01511,4.91
75.5,5.86609,4.01511,4.91
76,5.86609,4.01378,4.91
76,5.86609,4.01378,4.89865
76,5.86609,4.01377,4.88735
76.5,5.86609,4.01377,4.88735
77,5.86609,4.01244,4.88735
77,5.86609,4.01244,4.89865
77,5.86609,4.01244,4.91
77.5,5.86609,4.01244,4.91
78,5.86609,4.01113,4.91
78,5.86609,4.01113,4.88172
78,5.86609,4.01112,4.85372
78.5,5.86609,4.01112,4.85372
79,5.86609,4.00982,4.85372
79,5.86609,4.00982,4.82047
79,5.86609,4.00982,4.78762
79.5,5.86609,4.00982,4.78762
80,5.86609,4.00853,4.78762
80,5.86609,4.00853,4.71772
80,5.86609,4.00852,4.64952
80.5,5.86609,4.00852,4.64952
81,5.86609,4.00725,4.64952
81,5.86609,4.00725,4.59816
81,5.86609,4.00724,4.54774
81.5,5.86609,4.00724,4.54774
82,5.86609,4.00598,4.54774
82,5.86609,4.00598,4.54274
82,5.86609,4.00598,4.53776
82.5,5.86609,4.00598,4.53776
83,5.86609,4.00473,4.53776
83,5.86609,4.00473,4.82599
83,5.86609,4.00472,5.14694
83.5,5.86609,4.00472,5.14694
84,5.86609,4.00349,5.14694
84,5.86609,4.00349,5.17174
84,5.86609,4.00348,5.19676
84.5,5.86609,4.00348,5.19676
85,5.86609,4.00226,5.19676
85,5.86609,4.00226,5.17174
85,5.86609,4.00226,5.14694
85.5,5.86609,4.00226,5.14694
86,5.86609,4.00105,5.14694
86,5.86609,4.00105,5.11013
86,5.86609,4.00105,5.07378
86.5,5.86609,4.00105,5.07378
87,5.86609,3.99986,5.07378
87,5.86609,3.99986,5.04384
87,5.86609,3.99986,5.0142
87.5,5.86609,3.99986,5.0142
88,5.86609,3.99869,5.0142
88,5.86609,3.99869,4.98487
88,5.86609,3.99868,4.95584
88.5,5.86609,3.99868,4.95584
89,5.86609,3.99763,4.95584
89,5.86609,3.99763,4.95007
89,5.86609,3.99763,4.94431
89.5,5.86609,3.99767,4.94431
90,5.86609,3.99767,4.94431
90,5.86609,3.99767,5.02602
90,5.86609,3.99767,5.11013
90.5,5.86609,4.00579,5.11013
91,5.86609,4.01397,5.11013
91,5.86609,4.01397,5.20304
91,5.86609,4.01397,5.29903
91.5,5.86609,4.02217,5.29903
92,5.86609,4.03041,5.29903
92,5.86609,4.03041,5.43892
92,5.86609,4.03041,5.58571
92.5,5.86609,4.00987,5.58571
93,5.86609,3.99576,5.58571
93,5.86609,3.99576,5.7551
93,5.86609,3.99575,5.9343
93.5,5.86609,3.99575,5.9343
94,5.86609,3.99353,5.9343
94,5.86609,3.99353,6.11574
94,5.86609,3.99352,6.30785
94.5,5.86609,3.99352,6.30785
95,5.86609,3.99203,6.30785
95,5.86609,3.99203,6.2104
95,5.86609,3.99203,6.11574
95.5,5.68178,3.99203,6.11574
96,5.50793,3.99083,6.11574
96,5.50793,3.99083,6.0736
96,5.50793,3.99082,6.032
96.5,5.50793,3.99082,6.032
97,5.50793,3.98976,6.032
97,5.50793,3.98976,6.14984
97,5.50793,3.98975,6.27208
97.5,5.50793,3.98975,6.27208
98,5.50793,3.9895,6.27208
98,5.50793,3.9895,6.25434
98,5.50793,3.9895,6.2367
98.5,5.50793,3.99356,6.2367
99,5.50793,3.99763,6.2367
99,5.50793,3.99763,6.62793
99,5.50793,3.99763,7.06732
99.5,5.50793,3.9895,7.06732
100,5.50793,3.98864,7.06732
100,5.50793,3.98864,7.1232
100,5.50793,3.98864,7.17989
100.5,5.50793,3.98864,7.17989
101,5.50793,3.98767,7.17989
101,5.50793,3.98767,7.16849
101,5.50793,3.98767,7.15712
101.5,5.50793,3.98767,7.15712
102,5.50793,3.98692,7.15712
102,5.50793,3.98692,7.06732
102,5.50793,3.98692,6.97955
102.5,5.50793,3.98692,6.97955
103,5.50793,3.98624,6.97955
103,5.50793,3.98624,6.91503
103,5.50793,3.98623,6.8516
103.5,5.50793,3.98623,6.8516
104,5.50793,3.98558,6.8516
104,5.50793,3.98558,6.76867
104,5.50793,3.98557,6.68758
104.5,5.50793,3.98557,6.68758
105,5.50793,3.98493,6.68758
105,5.50793,3.98493,6.5403
105,5.50793,3.98492,6.39895
105.5,5.50793,3.98492,6.39895
106,5.50793,3.98429,6.39895
106,5.50793,3.98429,6.33492
106,5.50793,3.98428,6.27208
106.5,5.50793,3.98428,6.27208
107,5.50793,3.98365,6.27208
107,5.50793,3.98365,5.80856
107,5.50793,3.98365,5.40501
107.5,5.50793,3.98365,5.40501
108,5.50793,3.98303,5.40501
108,5.50793,3.98303,5.41176
108,5.50793,3.98303,5.41853
108.5,5.50793,3.98303,5.41853
109,5.50793,3.98241,5.41853
109,5.50793,3.98241,5.39827
109,5.50793,3.98241,5.37816
109.5,5.50793,3.98241,5.37816
110,5.50793,3.98181,5.37816
110,5.50793,3.98181,5.38485
110,5.50793,3.98181,5.39155
110.5,5.50793,3.98181,5.39155
111,5.50793,3.9814,5.39155
111,5.50793,3.9814,5.37816
111,5.50793,3.9814,5.36482
111.5,5.50793,3.9814,5.36482
112,5.50793,3.9814,5.36482
112,5.50793,3.9814,5.34493
112,5.50793,3.9814,5.32517
112.5,5.50793,3.9814,5.32517
113,5.50793,3.9814,5.32517
113,5.50793,3.9814,5.32517
113,5.50793,3.9814,5.32517
113.5,5.50793,3.99763,5.32517
114,5.50793,4.01397,5.32517
114,5.50793,4.01397,5.27313
114,5.50793,4.01397,5.22199
114.5,5.50793,4.04696,5.22199
115,5.50793,4.08037,5.22199
115,5.50793,4.08037,5.27958
115,5.50793,4.08037,5.33833
115.5,5.50793,4.1615,5.33833
116,5.50793,4.24518,5.33833
116,5.50793,4.24518,5.37816
116,5.50793,4.24518,5.41853
116.5,5.50793,4.30398,5.41853
117,5.50793,4.36409,5.41853
117,5.50793,4.36409,5.45259
117,5.50793,4.36409,5.48706
117.5,5.50793,4.46891,5.48706
118,5.50793,4.57788,5.48706
118,5.50793,4.57788,5.55011
118,5.50793,4.57788,5.6145
118.5,5.50793,4.51791,5.6145
119,5.50793,4.45922,5.6145
119,5.50793,4.45922,5.63628
119,5.50793,4.45922,5.65821
119.5,5.31469,4.5678,5.65821
