"time","hp2.Pelec"
0,40
0.0161928,42
0.0161928,42
0.0190915,47.1822
0.0190915,47.1822
0.25,44.9895
0.5,44.9309
0.75,44.8739
1,44.817
1,44.817
1,44.817
1.25,44.6112
1.5,44.3846
1.75,44.1587
2,43.9337
2,43.9337
2,43.9337
2.25,43.6606
2.5,43.3818
2.75,43.1042
3,42.828
3,42.828
3,42.828
3.25,42.6493
3.5,42.4847
3.75,42.3206
4,42.157
4,42.157
4,42.157
4.25,41.803
4.5,41.425
4.75,41.0495
5,40.6766
5,40.6766
5,40.6766
5.25,40.539
5.5,40.4332
5.75,40.3276
6,40.2223
6,40.2223
6,40.2223
6.25,40.9566
6.5,41.8148
6.75,42.6859
7,43.57
7,43.57
7,43.57
7.25,43.9754
7.5,44.3131
7.75,44.6526
8,44.9939
8,44.9939
8,44.9939
8.25,45.0876
8.5,45.1448
8.75,45.2021
9,45.2594
9,45.2594
9,45.2594
9.25,45.067
9.5,44.8387
9.75,44.6112
10,44.3846
10,44.3846
10,44.3846
10.25,44.0111
10.5,43.6187
10.75,43.2289
11,42.8416
11,42.8416
11,42.8416
11.25,42.6493
11.5,42.4847
11.75,42.3206
12,42.157
12,42.157
12,42.157
12.25,41.8983
12.5,41.6277
12.75,41.3583
13,41.0904
13,41.0904
13,41.0904
13.25,41.0583
13.5,41.0583
13.75,41.0583
14,41.0583
14,41.0583
14,41.0583
14.25,41.2467
14.5,41.4614
14.75,41.677
15,41.8931
15,41.8931
15,41.8931
15.25,42.1105
15.5,42.3285
15.75,42.5473
16,42.7669
16,42.7669
16,42.7669
16.25,43.0842
16.5,43.4169
16.75,43.7514
17,44.0877
17,44.0877
17,44.0877
17.25,44.2287
17.5,44.3416
17.75,44.4547
18,44.5679
18,44.5679
18,44.5679
18.25,44.6319
18.5,44.6887
18.75,44.7455
19,44.8023
19,44.8023
19,44.8023
19.25,44.909
19.5,45.0232
19.75,45.1375
20,45.2519
20,45.2519
20,45.2519
20.25,45.3668
20.5,45.4817
20.75,45.5969
21,45.7122
21,45.7122
21,45.7122
21.25,45.7775
21.5,45.8354
21.75,45.8933
22,45.9511
22,45.9511
22,45.9511
22.25,46.0092
22.5,46.0673
22.75,46.1254
23,46.1835
23,46.1835
23,46.1835
