"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
0,0.703179,0.703179
900,0.703653,0.704506
1800,0.703669,0.705117
2700,0.703686,0.705549
3600,0.703703,0.705856
3600,0.703703,0.705856
3600,0.703703,0.705856
4500,0.703769,0.706118
5400,0.703836,0.706309
6300,0.703903,0.706449
7200,0.70397,0.706553
7200,0.70397,0.706553
7200,0.70397,0.706553
8100,0.704054,0.706644
9000,0.704138,0.706715
9900,0.704222,0.70677
10800,0.704306,0.706813
10800,0.704306,0.706813
10800,0.704306,0.706813
11700,0.704356,0.70682
12600,0.704407,0.706828
13500,0.704457,0.706836
14400,0.704508,0.706845
14400,0.704508,0.706845
14400,0.704508,0.706845
15300,0.704625,0.70691
16200,0.704742,0.706965
17100,0.70486,0.70701
18000,0.704978,0.707049
18000,0.704978,0.707049
18000,0.704978,0.707049
18900,0.705012,0.707012
19800,0.705046,0.706985
20700,0.70508,0.706968
21600,0.705113,0.706958
21600,0.705113,0.706958
21600,0.705113,0.706958
22500,0.704847,0.706691
23400,0.704578,0.706484
24300,0.704309,0.706323
25200,0.70404,0.706194
25200,0.70404,0.706194
25200,0.70404,0.706194
26100,0.703938,0.706231
27000,0.703838,0.706255
27900,0.703737,0.706266
28800,0.703637,0.70627
28800,0.703637,0.70627
28800,0.703637,0.70627
29700,0.70362,0.706338
30600,0.703603,0.706387
31500,0.703586,0.706421
32400,0.703569,0.706445
32400,0.703569,0.706445
32400,0.703569,0.706445
33300,0.703636,0.706531
34200,0.703702,0.706597
35100,0.703769,0.706649
36000,0.703836,0.706689
36000,0.703836,0.706689
36000,0.703836,0.706689
36900,0.703953,0.706763
37800,0.704071,0.706824
38700,0.704188,0.706873
39600,0.704305,0.706915
39600,0.704305,0.706915
39600,0.704305,0.706915
40500,0.704356,0.706894
41400,0.704407,0.706881
42300,0.704457,0.706874
43200,0.704508,0.706871
43200,0.704508,0.706871
43200,0.704508,0.706871
44100,0.704591,0.706901
45000,0.704675,0.706927
45900,0.704759,0.706951
46800,0.704843,0.706971
46800,0.704843,0.706971
46800,0.704843,0.706971
47700,0.704844,0.70692
48600,0.704844,0.706881
49500,0.704844,0.706853
50400,0.704844,0.706833
50400,0.704844,0.706833
50400,0.704844,0.706833
51300,0.704778,0.706762
52200,0.70471,0.706706
53100,0.704643,0.706662
54000,0.704576,0.706627
54000,0.704576,0.706627
54000,0.704576,0.706627
54900,0.704509,0.7066
55800,0.704441,0.706576
56700,0.704374,0.706555
57600,0.704307,0.706537
57600,0.704307,0.706537
57600,0.704307,0.706537
58500,0.704207,0.706493
59400,0.704106,0.706455
60300,0.704005,0.706423
61200,0.703905,0.706395
61200,0.703905,0.706395
61200,0.703905,0.706395
62100,0.703871,0.706426
63000,0.703837,0.706448
63900,0.703804,0.706463
64800,0.70377,0.706471
64800,0.70377,0.706471
64800,0.70377,0.706471
65700,0.703753,0.706489
66600,0.703737,0.706501
67500,0.70372,0.706509
68400,0.703703,0.706515
68400,0.703703,0.706515
68400,0.703703,0.706515
69300,0.70367,0.706503
70200,0.703636,0.706494
71100,0.703603,0.706485
72000,0.70357,0.706477
72000,0.70357,0.706477
72000,0.70357,0.706477
72900,0.703536,0.706469
73800,0.703503,0.706462
74700,0.703469,0.706455
75600,0.703436,0.706449
75600,0.703436,0.706449
75600,0.703436,0.706449
76500,0.703419,0.706456
77400,0.703402,0.706461
78300,0.703385,0.706464
79200,0.703369,0.706465
79200,0.703369,0.706465
79200,0.703369,0.706465
80100,0.703352,0.706465
81000,0.703335,0.706464
81900,0.703318,0.706463
82800,0.703302,0.706461
82800,0.703302,0.706461
82800,0.703302,0.706461
83700,0.703683,0.706799
84600,0.704068,0.707065
85500,0.704454,0.707277
86400,0.70484,0.707452
86400,0.70484,0.707452
86400,0.70484,0.707452
87300,0.704878,0.707297
88200,0.704911,0.707184
89100,0.704945,0.707104
90000,0.704979,0.707048
90000,0.704979,0.707048
90000,0.704979,0.707048
90900,0.704979,0.706982
91800,0.704979,0.706933
92700,0.704979,0.706897
93600,0.704979,0.706872
93600,0.704979,0.706872
93600,0.704979,0.706872
94500,0.704962,0.70684
95400,0.704945,0.706815
96300,0.704929,0.706797
97200,0.704912,0.706783
97200,0.704912,0.706783
97200,0.704912,0.706783
98100,0.704912,0.706786
99000,0.704912,0.706788
99900,0.704912,0.70679
100800,0.704912,0.706792
100800,0.704912,0.706792
100800,0.704912,0.706792
101700,0.704962,0.706836
102600,0.705012,0.706871
103500,0.705063,0.706899
104400,0.705113,0.706921
104400,0.705113,0.706921
104400,0.705113,0.706921
105300,0.705147,0.706926
106200,0.705181,0.706931
107100,0.705214,0.706936
108000,0.705248,0.706942
108000,0.705248,0.706942
108000,0.705248,0.706942
108900,0.705232,0.706904
109800,0.705215,0.706876
110700,0.705198,0.706854
111600,0.705181,0.706838
111600,0.705181,0.706838
111600,0.705181,0.706838
112500,0.705214,0.706868
113400,0.705248,0.706893
114300,0.705282,0.706912
115200,0.705315,0.706928
115200,0.705315,0.706928
115200,0.705315,0.706928
116100,0.705333,0.706927
117000,0.705349,0.706927
117900,0.705366,0.706928
118800,0.705383,0.706929
118800,0.705383,0.706929
118800,0.705383,0.706929
119700,0.705367,0.706902
120600,0.70535,0.706882
121500,0.705333,0.706866
122400,0.705316,0.706853
122400,0.705316,0.706853
122400,0.705316,0.706853
123300,0.705333,0.706872
124200,0.705349,0.706887
125100,0.705366,0.706899
126000,0.705383,0.706908
126000,0.705383,0.706908
126000,0.705383,0.706908
126900,0.705333,0.706858
127800,0.705283,0.706819
128700,0.705232,0.706787
129600,0.705182,0.706762
129600,0.705182,0.706762
129600,0.705182,0.706762
130500,0.705281,0.706871
131400,0.705382,0.706958
132300,0.705484,0.707025
133200,0.705585,0.707079
133200,0.705585,0.707079
133200,0.705585,0.707079
134100,0.705619,0.707065
135000,0.705653,0.707057
135900,0.705687,0.707052
136800,0.70572,0.70705
136800,0.70572,0.70705
136800,0.70572,0.70705
137700,0.705721,0.707022
138600,0.705721,0.707001
139500,0.705721,0.706986
140400,0.705721,0.706975
140400,0.705721,0.706975
140400,0.705721,0.706975
141300,0.705637,0.706895
142200,0.705553,0.706831
143100,0.705468,0.706781
144000,0.705384,0.706741
144000,0.705384,0.706741
144000,0.705384,0.706741
144900,0.70535,0.706751
145800,0.705316,0.706757
146700,0.705282,0.70676
147600,0.705249,0.70676
147600,0.705249,0.70676
147600,0.705249,0.70676
148500,0.705081,0.706642
149400,0.704913,0.706548
150300,0.704745,0.706472
151200,0.704577,0.706409
151200,0.704577,0.706409
151200,0.704577,0.706409
152100,0.704409,0.706356
153000,0.704241,0.706309
153900,0.704073,0.706267
154800,0.703905,0.706229
154800,0.703905,0.706229
154800,0.703905,0.706229
155700,0.703854,0.706293
156600,0.703804,0.706338
157500,0.703754,0.706367
158400,0.703704,0.706386
158400,0.703704,0.706386
158400,0.703704,0.706386
159300,0.703637,0.706382
160200,0.70357,0.706376
161100,0.703503,0.706368
162000,0.703436,0.70636
162000,0.703436,0.70636
162000,0.703436,0.70636
162900,0.703319,0.706308
163800,0.703202,0.706264
164700,0.703085,0.706227
165600,0.702969,0.706195
165600,0.702969,0.706195
165600,0.702969,0.706195
166500,0.702852,0.706167
167400,0.702735,0.706141
168300,0.702618,0.706117
169200,0.702502,0.706094
169200,0.702502,0.706094
169200,0.702502,0.706094
170100,0.702534,0.706198
171000,0.702567,0.706276
171900,0.702601,0.706333
172800,0.702634,0.706374
172800,0.702634,0.706374
172800,0.702634,0.706374
173700,0.702667,0.706405
174600,0.702701,0.70643
175500,0.702734,0.706449
176400,0.702767,0.706464
176400,0.702767,0.706464
176400,0.702767,0.706464
177300,0.702685,0.706379
178200,0.702602,0.706313
179100,0.702518,0.706261
180000,0.702435,0.706221
180000,0.702435,0.706221
180000,0.702435,0.706221
180900,0.702451,0.706271
181800,0.702467,0.706309
182700,0.702484,0.706337
183600,0.702501,0.706358
183600,0.702501,0.706358
183600,0.702501,0.706358
184500,0.702468,0.706332
185400,0.702435,0.706311
186300,0.702401,0.706294
187200,0.702368,0.706281
187200,0.702368,0.706281
187200,0.702368,0.706281
188100,0.702368,0.706297
189000,0.702368,0.706309
189900,0.702368,0.706318
190800,0.702368,0.706325
190800,0.702368,0.706325
190800,0.702368,0.706325
191700,0.702434,0.706385
192600,0.7025,0.706432
193500,0.702567,0.706469
194400,0.702633,0.706498
194400,0.702633,0.706498
194400,0.702633,0.706498
195300,0.702766,0.706579
196200,0.7029,0.706644
197100,0.703033,0.706698
198000,0.703167,0.706742
198000,0.703167,0.706742
198000,0.703167,0.706742
198900,0.703483,0.706937
199800,0.703801,0.707096
200700,0.704119,0.707227
201600,0.704438,0.707338
201600,0.704438,0.707338
201600,0.704438,0.707338
202500,0.704657,0.707351
203400,0.704876,0.707371
204300,0.705095,0.707398
205200,0.705314,0.707429
205200,0.705314,0.707429
205200,0.705314,0.707429
206100,0.705684,0.707594
207000,0.706056,0.707737
207900,0.706428,0.707862
208800,0.706801,0.707974
208800,0.706801,0.707974
208800,0.706801,0.707974
209700,0.706603,0.707574
210600,0.706399,0.70727
211500,0.706196,0.707038
212400,0.705993,0.706861
212400,0.705993,0.706861
212400,0.705993,0.706861
213300,0.70636,0.707221
214200,0.706733,0.707507
215100,0.707107,0.707735
216000,0.707481,0.707922
216000,0.707481,0.707922
216000,0.707481,0.707922
216900,0.707653,0.707902
217800,0.707824,0.707895
218700,0.707994,0.707899
219600,0.708165,0.707913
219600,0.708165,0.707913
219600,0.708165,0.707913
220500,0.708031,0.707661
221400,0.707894,0.707468
222300,0.707758,0.707321
223200,0.707622,0.707207
223200,0.707622,0.707207
223200,0.707622,0.707207
224100,0.70784,0.707432
225000,0.708062,0.70761
225900,0.708284,0.707752
226800,0.708505,0.707868
226800,0.708505,0.707868
226800,0.708505,0.707868
227700,0.70861,0.70786
228600,0.708713,0.707859
229500,0.708815,0.707864
230400,0.708918,0.707874
230400,0.708918,0.707874
230400,0.708918,0.707874
231300,0.708885,0.707765
232200,0.708851,0.707683
233100,0.708816,0.707621
234000,0.708782,0.707574
234000,0.708782,0.707574
234000,0.708782,0.707574
234900,0.708816,0.707599
235800,0.70885,0.707619
236700,0.708884,0.707636
237600,0.708919,0.707651
237600,0.708919,0.707651
237600,0.708919,0.707651
238500,0.708834,0.707557
239400,0.708748,0.707482
240300,0.708663,0.707423
241200,0.708577,0.707376
241200,0.708577,0.707376
241200,0.708577,0.707376
242100,0.708475,0.707322
243000,0.708372,0.707276
243900,0.70827,0.707238
244800,0.708167,0.707204
244800,0.708167,0.707204
244800,0.708167,0.707204
245700,0.707946,0.707069
246600,0.707725,0.706958
247500,0.707503,0.706866
248400,0.707282,0.706788
248400,0.707282,0.706788
248400,0.707282,0.706788
249300,0.707112,0.706765
250200,0.706942,0.70674
251100,0.706772,0.706714
252000,0.706603,0.706686
252000,0.706603,0.706686
252000,0.706603,0.706686
252900,0.706584,0.706789
253800,0.706567,0.706865
254700,0.70655,0.706918
255600,0.706533,0.706956
255600,0.706533,0.706956
255600,0.706533,0.706956
256500,0.707459,0.707813
257400,0.708397,0.7085
258300,0.70934,0.709063
259200,0.710286,0.709541
259200,0.710286,0.709541
259200,0.710286,0.709541
260100,0.710362,0.709168
261000,0.710431,0.70889
261900,0.7105,0.70869
262800,0.710569,0.708547
262800,0.710569,0.708547
262800,0.710569,0.708547
263700,0.710502,0.708322
264600,0.710433,0.708151
265500,0.710364,0.708023
266400,0.710295,0.707925
266400,0.710295,0.707925
266400,0.710295,0.707925
267300,0.710191,0.707818
268200,0.710088,0.707733
269100,0.709985,0.707666
270000,0.709881,0.707611
270000,0.709881,0.707611
270000,0.709881,0.707611
270900,0.709795,0.707581
271800,0.709709,0.707554
272700,0.709623,0.707529
273600,0.709537,0.707506
273600,0.709537,0.707506
273600,0.709537,0.707506
274500,0.709451,0.707485
275400,0.709366,0.707465
276300,0.70928,0.707445
277200,0.709194,0.707426
277200,0.709194,0.707426
277200,0.709194,0.707426
278100,0.709176,0.707468
279000,0.709159,0.707499
279900,0.709142,0.70752
280800,0.709125,0.707535
280800,0.709125,0.707535
280800,0.709125,0.707535
281700,0.709363,0.707774
282600,0.709603,0.707964
283500,0.709844,0.708118
284400,0.710085,0.708244
284400,0.710085,0.708244
284400,0.710085,0.708244
285300,0.710343,0.708366
286200,0.710602,0.708473
287100,0.710862,0.708567
288000,0.711121,0.708652
288000,0.711121,0.708652
288000,0.711121,0.708652
288900,0.711484,0.708826
289800,0.711848,0.708978
290700,0.712213,0.709114
291600,0.712579,0.709238
291600,0.712579,0.709238
291600,0.712579,0.709238
292500,0.71298,0.709386
293400,0.713382,0.709523
294300,0.713784,0.709652
295200,0.714188,0.709776
295200,0.714188,0.709776
295200,0.714188,0.709776
296100,0.714575,0.70988
297000,0.714962,0.709983
297900,0.71535,0.710088
298800,0.715738,0.710194
298800,0.715738,0.710194
298800,0.715738,0.710194
299700,0.71555,0.709749
300600,0.715355,0.709399
301500,0.715161,0.709127
302400,0.714967,0.708912
302400,0.714967,0.708912
302400,0.714967,0.708912
303300,0.714878,0.708841
304200,0.71479,0.708783
305100,0.714702,0.708735
306000,0.714614,0.708694
306000,0.714614,0.708694
306000,0.714614,0.708694
306900,0.714858,0.708972
307800,0.715104,0.709197
308700,0.715351,0.70938
309600,0.715599,0.709533
309600,0.715599,0.709533
309600,0.715599,0.709533
310500,0.715566,0.709395
311400,0.71553,0.709288
312300,0.715495,0.709207
313200,0.71546,0.709144
313200,0.71546,0.709144
313200,0.71546,0.709144
314100,0.715635,0.709322
315000,0.715812,0.709515
315900,0.715989,0.709719
316800,0.716166,0.709932
316800,0.716166,0.709932
316800,0.716166,0.709932
317700,0.716167,0.709961
318600,0.716167,0.709989
319500,0.716167,0.710017
320400,0.716167,0.710045
320400,0.716167,0.710045
320400,0.716167,0.710045
321300,0.716167,0.710069
322200,0.716167,0.710086
323100,0.716167,0.710097
324000,0.716167,0.710103
324000,0.716167,0.710103
324000,0.716167,0.710103
324900,0.716167,0.710101
325800,0.716167,0.710088
326700,0.716167,0.710065
327600,0.716167,0.710037
327600,0.716167,0.710037
327600,0.716167,0.710037
328500,0.716167,0.710005
329400,0.716167,0.709972
330300,0.716167,0.709938
331200,0.716167,0.709905
331200,0.716167,0.709905
331200,0.716167,0.709905
332100,0.716167,0.709868
333000,0.716167,0.709829
333900,0.716167,0.709788
334800,0.716167,0.709747
334800,0.716167,0.709747
334800,0.716167,0.709747
335700,0.71615,0.70968
336600,0.716132,0.709609
337500,0.716114,0.709533
338400,0.716097,0.709455
338400,0.716097,0.709455
338400,0.716097,0.709455
339300,0.715974,0.709284
340200,0.71585,0.709148
341100,0.715726,0.709039
342000,0.715602,0.708951
342000,0.715602,0.708951
342000,0.715602,0.708951
342900,0.714622,0.70806
343800,0.713639,0.707343
344700,0.71266,0.706767
345600,0.711687,0.7063
345600,0.711687,0.7063
345600,0.711687,0.7063
346500,0.711695,0.706822
347400,0.711712,0.707207
348300,0.71173,0.707488
349200,0.711747,0.707694
349200,0.711747,0.707694
349200,0.711747,0.707694
350100,0.711696,0.70778
351000,0.711644,0.707841
351900,0.711591,0.707883
352800,0.71154,0.70791
352800,0.71154,0.70791
352800,0.71154,0.70791
353700,0.711556,0.707989
354600,0.711574,0.70805
355500,0.711591,0.708095
356400,0.711608,0.708128
356400,0.711608,0.708128
356400,0.711608,0.708128
357300,0.711574,0.708107
358200,0.711539,0.708089
359100,0.711505,0.708074
360000,0.71147,0.70806
360000,0.71147,0.70806
360000,0.71147,0.70806
360900,0.711418,0.708033
361800,0.711366,0.708009
362700,0.711314,0.707989
363600,0.711262,0.707971
363600,0.711262,0.707971
363600,0.711262,0.707971
364500,0.711262,0.708001
365400,0.711262,0.708024
366300,0.711262,0.708042
367200,0.711262,0.708054
367200,0.711262,0.708054
367200,0.711262,0.708054
368100,0.711124,0.707938
369000,0.710986,0.707843
369900,0.710848,0.707766
370800,0.710709,0.707702
370800,0.710709,0.707702
370800,0.710709,0.707702
371700,0.710862,0.707913
372600,0.711018,0.708078
373500,0.711174,0.708209
374400,0.71133,0.708314
374400,0.71133,0.708314
374400,0.71133,0.708314
375300,0.711434,0.708353
376200,0.711538,0.708389
377100,0.711642,0.708421
378000,0.711746,0.708451
378000,0.711746,0.708451
378000,0.711746,0.708451
378900,0.711833,0.708464
379800,0.71192,0.708478
380700,0.712007,0.708494
381600,0.712094,0.708511
381600,0.712094,0.708511
381600,0.712094,0.708511
382500,0.71225,0.708592
383400,0.712407,0.708663
384300,0.712563,0.708725
385200,0.71272,0.708781
385200,0.71272,0.708781
385200,0.71272,0.708781
386100,0.712773,0.708736
387000,0.712826,0.708704
387900,0.712878,0.708684
388800,0.71293,0.708673
388800,0.71293,0.708673
388800,0.71293,0.708673
389700,0.712464,0.708186
390600,0.711994,0.707796
391500,0.711526,0.707485
392400,0.711058,0.707233
392400,0.711058,0.707233
392400,0.711058,0.707233
393300,0.711466,0.707828
394200,0.711883,0.708294
395100,0.7123,0.708662
396000,0.712718,0.70896
396000,0.712718,0.70896
396000,0.712718,0.70896
396900,0.712998,0.709077
397800,0.713278,0.709183
398700,0.713558,0.709279
399600,0.713838,0.709369
399600,0.713838,0.709369
399600,0.713838,0.709369
400500,0.713858,0.70921
401400,0.713875,0.70909
402300,0.713893,0.709003
403200,0.71391,0.70894
403200,0.71391,0.70894
403200,0.71391,0.70894
404100,0.713928,0.708895
405000,0.713946,0.708862
405900,0.713963,0.708839
406800,0.713981,0.708823
406800,0.713981,0.708823
406800,0.713981,0.708823
407700,0.713911,0.708732
408600,0.713841,0.708658
409500,0.713771,0.708599
410400,0.713701,0.708552
410400,0.713701,0.708552
410400,0.713701,0.708552
411300,0.713579,0.708464
412200,0.713456,0.708391
413100,0.713334,0.708329
414000,0.713211,0.708277
414000,0.713211,0.708277
414000,0.713211,0.708277
414900,0.713037,0.708183
415800,0.712863,0.708102
416700,0.712688,0.708033
417600,0.712514,0.707972
417600,0.712514,0.707972
417600,0.712514,0.707972
418500,0.712374,0.707949
419400,0.712235,0.707924
420300,0.712096,0.707897
421200,0.711957,0.70787
421200,0.711957,0.70787
421200,0.711957,0.70787
422100,0.711956,0.707969
423000,0.711956,0.708043
423900,0.711956,0.708097
424800,0.711956,0.708136
424800,0.711956,0.708136
424800,0.711956,0.708136
425700,0.711938,0.708149
426600,0.711921,0.708157
427500,0.711904,0.708163
428400,0.711886,0.708165
428400,0.711886,0.708165
428400,0.711886,0.708165
429300,0.711404,0.707738
430200,0.71092,0.707395
431100,0.710436,0.707119
432000,0.709954,0.706893
432000,0.709954,0.706893
432000,0.709954,0.706893
432900,0.709932,0.707122
433800,0.709915,0.70729
434700,0.709898,0.707412
435600,0.709881,0.707499
435600,0.709881,0.707499
435600,0.709881,0.707499
436500,0.709863,0.707561
437400,0.709846,0.707606
438300,0.709829,0.707637
439200,0.709812,0.707659
439200,0.709812,0.707659
439200,0.709812,0.707659
440100,0.709812,0.707689
441000,0.709812,0.707712
441900,0.709812,0.707728
442800,0.709812,0.70774
442800,0.709812,0.70774
442800,0.709812,0.70774
443700,0.709795,0.707733
444600,0.709777,0.707727
445500,0.70976,0.707722
446400,0.709743,0.707717
446400,0.709743,0.707717
446400,0.709743,0.707717
447300,0.709726,0.707712
448200,0.709709,0.707708
449100,0.709691,0.707704
450000,0.709674,0.7077
450000,0.709674,0.7077
450000,0.709674,0.7077
450900,0.709691,0.707726
451800,0.709708,0.707747
452700,0.709726,0.707763
453600,0.709743,0.707776
453600,0.709743,0.707776
453600,0.709743,0.707776
454500,0.709726,0.707756
455400,0.709709,0.70774
456300,0.709691,0.707727
457200,0.709674,0.707716
457200,0.709674,0.707716
457200,0.709674,0.707716
458100,0.709674,0.707723
459000,0.709674,0.707728
459900,0.709674,0.707732
460800,0.709674,0.707734
460800,0.709674,0.707734
460800,0.709674,0.707734
461700,0.709674,0.707737
462600,0.709674,0.707738
463500,0.709674,0.707739
464400,0.709674,0.70774
464400,0.709674,0.70774
464400,0.709674,0.70774
465300,0.709725,0.707787
466200,0.709777,0.707824
467100,0.709828,0.707855
468000,0.70988,0.70788
468000,0.70988,0.70788
468000,0.70988,0.70788
468900,0.709898,0.707871
469800,0.709915,0.707865
470700,0.709932,0.707861
471600,0.709949,0.707859
471600,0.709949,0.707859
471600,0.709949,0.707859
472500,0.710223,0.708092
473400,0.710499,0.70828
474300,0.710775,0.708435
475200,0.711052,0.708565
475200,0.711052,0.708565
475200,0.711052,0.708565
476100,0.7109,0.708287
477000,0.710744,0.70807
477900,0.710589,0.707902
478800,0.710433,0.707771
478800,0.710433,0.707771
478800,0.710433,0.707771
479700,0.71062,0.707977
480600,0.71081,0.708142
481500,0.711,0.708275
482400,0.711191,0.708383
482400,0.711191,0.708383
482400,0.711191,0.708383
483300,0.711399,0.70849
484200,0.711607,0.708582
485100,0.711815,0.708663
486000,0.712023,0.708736
486000,0.712023,0.708736
486000,0.712023,0.708736
486900,0.712025,0.708612
487800,0.712025,0.708518
488700,0.712025,0.70845
489600,0.712025,0.708399
489600,0.712025,0.708399
489600,0.712025,0.708399
490500,0.711905,0.708252
491400,0.711783,0.708135
492300,0.711661,0.708041
493200,0.71154,0.707966
493200,0.71154,0.707966
493200,0.71154,0.707966
494100,0.711573,0.708046
495000,0.711608,0.708108
495900,0.711643,0.708156
496800,0.711677,0.708192
496800,0.711677,0.708192
496800,0.711677,0.708192
497700,0.711489,0.708016
498600,0.711298,0.707873
499500,0.711108,0.707758
500400,0.710917,0.707663
500400,0.710917,0.707663
500400,0.710917,0.707663
501300,0.71059,0.707458
502200,0.710262,0.707289
503100,0.709935,0.707148
504000,0.709608,0.707029
504000,0.709608,0.707029
504000,0.709608,0.707029
504900,0.709503,0.707124
505800,0.7094,0.70719
506700,0.709297,0.707232
507600,0.709194,0.707257
507600,0.709194,0.707257
507600,0.709194,0.707257
508500,0.708989,0.707177
509400,0.708784,0.707107
510300,0.708578,0.707046
511200,0.708373,0.70699
511200,0.708373,0.70699
511200,0.708373,0.70699
512100,0.70871,0.707425
513000,0.709053,0.707764
513900,0.709396,0.708031
514800,0.70974,0.708246
514800,0.70974,0.708246
514800,0.70974,0.708246
515700,0.708265,0.706785
516600,0.706783,0.705647
517500,0.705312,0.704773
518400,0.70385,0.704098
518400,0.70385,0.704098
518400,0.70385,0.704098
519300,0.703787,0.704771
520200,0.703737,0.705253
521100,0.703687,0.705591
522000,0.703637,0.70583
522000,0.703637,0.70583
522000,0.703637,0.70583
522900,0.70352,0.705938
523800,0.703403,0.70601
524700,0.703286,0.706056
525600,0.703169,0.706083
525600,0.703169,0.706083
525600,0.703169,0.706083
526500,0.703185,0.706209
527400,0.703201,0.706302
528300,0.703218,0.706368
529200,0.703235,0.706417
529200,0.703235,0.706417
529200,0.703235,0.706417
530100,0.703218,0.706424
531000,0.703202,0.706428
531900,0.703185,0.70643
532800,0.703168,0.706431
532800,0.703168,0.706431
532800,0.703168,0.706431
