"time","electrolyser_detailed1.electrochemical.Top"
0,333.15
0.25,334.166
0.5,334.882
0.75,335.385
1,335.74
1,335.74
1,335.74
1.25,335.98
1.5,336.134
1.75,336.226
2,336.272
2,336.272
2,336.272
2.25,336.284
2.5,336.27
2.75,336.237
3,336.19
3,336.19
3,336.19
3.25,336.137
3.5,336.086
3.75,336.035
4,335.984
4,335.984
4,335.984
4.25,335.924
4.5,335.849
4.75,335.763
5,335.668
5,335.668
5,335.668
5.25,335.58
5.5,335.506
5.75,335.444
6,335.39
6,335.39
6,335.39
6.25,335.386
6.5,335.456
6.75,335.582
7,335.747
7,335.747
7,335.747
7.25,335.916
7.5,336.065
7.75,336.201
8,336.325
8,336.325
8,336.325
8.25,336.43
8.5,336.511
8.75,336.574
9,336.623
9,336.623
9,336.623
9.25,336.649
9.5,336.651
9.75,336.633
10,336.602
10,336.602
10,336.602
10.25,336.553
10.5,336.486
10.75,336.406
11,336.315
11,336.315
11,336.315
11.25,336.228
11.5,336.151
11.75,336.081
12,336.017
12,336.017
12,336.017
12.25,335.952
12.5,335.883
12.75,335.81
13,335.735
13,335.735
13,335.735
13.25,335.67
13.5,335.622
13.75,335.588
14,335.563
14,335.563
14,335.563
14.25,335.556
14.5,335.568
14.75,335.596
15,335.634
15,335.634
15,335.634
15.25,335.681
15.5,335.733
15.75,335.789
16,335.847
16,335.847
16,335.847
16.25,335.914
16.5,335.989
16.75,336.071
17,336.157
17,336.157
17,336.157
17.25,336.237
17.5,336.304
17.75,336.362
18,336.413
18,336.413
18,336.413
18.25,336.455
18.5,336.491
18.75,336.521
19,336.548
19,336.548
19,336.548
19.25,336.574
19.5,336.602
19.75,336.631
20,336.661
20,336.661
20,336.661
20.25,336.693
20.5,336.724
20.75,336.756
21,336.788
21,336.788
21,336.788
21.25,336.818
21.5,336.844
21.75,336.868
22,336.889
22,336.889
22,336.889
22.25,336.909
22.5,336.928
22.75,336.946
23,336.964
23,336.964
23,336.964
23.25,336.923
23.5,336.788
23.75,336.584
24,336.332
24,336.332
24,336.332
24.25,336.095
24.5,335.914
24.75,335.775
25,335.666
25,335.666
25,335.666
25.25,335.583
25.5,335.523
25.75,335.479
26,335.448
26,335.448
26,335.448
26.25,335.428
26.5,335.419
26.75,335.416
27,335.419
27,335.419
27,335.419
27.25,335.423
27.5,335.426
27.75,335.429
28,335.43
28,335.43
28,335.43
28.25,335.424
28.5,335.406
28.75,335.379
29,335.346
29,335.346
29,335.346
29.25,335.311
29.5,335.276
29.75,335.242
30,335.208
30,335.208
30,335.208
30.25,335.182
30.5,335.167
30.75,335.161
31,335.161
31,335.161
31,335.161
31.25,335.158
31.5,335.147
31.75,335.131
32,335.109
32,335.109
32,335.109
32.25,335.087
32.5,335.067
32.75,335.047
33,335.028
33,335.028
33,335.028
33.25,335.016
33.5,335.011
33.75,335.011
34,335.016
34,335.016
34,335.016
34.25,335.02
34.5,335.018
34.75,335.012
35,335.003
35,335.003
35,335.003
35.25,335.002
35.5,335.014
35.75,335.037
36,335.068
36,335.068
36,335.068
36.25,335.081
36.5,335.064
36.75,335.024
37,334.968
37,334.968
37,334.968
37.25,334.909
37.5,334.858
37.75,334.811
38,334.768
38,334.768
38,334.768
38.25,334.733
38.5,334.707
38.75,334.688
39,334.675
39,334.675
39,334.675
39.25,334.678
39.5,334.702
39.75,334.743
40,334.796
40,334.796
40,334.796
40.25,334.85
40.5,334.898
40.75,334.942
41,334.983
41,334.983
41,334.983
41.25,335.042
41.5,335.129
41.75,335.239
42,335.365
42,335.365
42,335.365
