,time,modelA,modelB,modelC
0,0,4.004774787,3.906722526,3.994957872
1,10,4.004774787,3.906722526,3.994957872
2,20,4.004774787,3.906722526,3.994957872
3,30,4.004774787,3.906722526,3.994957872
4,40,4.004774787,3.906722526,3.994957872
5,50,4.004774787,3.906722526,3.994957872
6,60,4.004774787,3.906722526,3.994957872
7,70,4.004774787,3.906722526,3.994957872
8,80,4.004774787,3.906722526,3.994957872
9,90,4.004774787,3.906722526,3.994957872
10,100,4.004774787,3.906722526,3.994957872
11,110,4.004774787,3.906722526,3.994957872
12,120,4.004774787,3.906722526,3.994957872
13,130,4.004774787,3.906722526,3.994957872
14,140,4.004774787,3.906722526,3.994957872
15,150,4.004774787,3.906722526,3.994957872
16,160,4.004774787,3.906722526,3.994957872
17,170,4.004774787,3.906722526,3.994957872
18,180,4.004774787,3.906722526,3.994957872
19,190,4.004774787,3.906722526,3.994957872
20,200,4.004774787,3.906722526,3.994957872
21,210,4.004774787,3.906722526,3.994957872
22,220,4.004774787,3.906722526,3.994957872
23,230,4.004774787,3.906722526,3.994957872
24,240,4.004774787,3.906722526,3.994957872
25,250,4.004774787,3.906722526,3.994957872
26,260,4.004774787,3.906722526,3.994957872
27,270,4.004774787,3.906722526,3.994957872
28,280,4.004774787,3.906722526,3.994957872
29,290,4.004774787,3.906722526,3.994957872
30,300,4.004774787,3.906722526,3.994957872
31,310,4.004774787,3.906722526,3.994957872
32,320,4.004774787,3.906722526,3.994957872
33,330,4.004774787,3.906722526,3.994957872
34,340,4.004774787,3.906722526,3.994957872
35,350,4.004774787,3.906722526,3.994957872
36,360,4.004774787,3.906722526,3.994957872
37,370,4.004774787,3.906722526,3.994957872
38,380,4.004774787,3.906722526,3.994957872
39,390,4.004774787,3.906722526,3.994957872
40,400,4.004774787,3.906722526,3.994957872
41,410,4.004774787,3.906722526,3.994957872
42,420,4.004774787,3.906722526,3.994957872
43,430,4.004774787,3.906722526,3.994957872
44,440,4.004774787,3.906722526,3.994957872
45,450,4.004774787,3.906722526,3.994957872
46,460,4.004774787,3.906722526,3.994957872
47,470,4.004774787,3.906722526,3.994957872
48,480,4.004774787,3.906722526,3.994957872
49,490,4.004774787,3.906722526,3.994957872
50,500,4.004774787,3.906722526,3.994957872
51,510,4.004774787,3.906722526,3.994957872
52,520,4.004774787,3.906722526,3.994957872
53,530,4.004774787,3.906722526,3.994957872
54,540,4.004774787,3.906722526,3.994957872
55,550,4.004774787,3.906722526,3.994957872
56,560,4.004774787,3.906722526,3.994957872
57,570,4.004774787,3.906722526,3.994957872
58,580,4.004774787,3.906722526,3.994957872
59,590,4.004774787,3.906722526,3.994957872
60,600,4.004774787,3.906722526,3.994957872
61,610,4.004774787,3.906722526,3.994957872
62,620,4.004774787,3.906722526,3.994957872
63,630,4.004774787,3.906722526,3.994957872
64,640,4.004774787,3.906722526,3.994957872
65,650,4.004774787,3.906722526,3.994957872
66,660,4.004774787,3.906722526,3.994957872
67,670,4.004774787,3.906722526,3.994957872
68,680,4.004774787,3.906722526,3.994957872
69,690,4.004774787,3.906722526,3.994957872
70,700,4.004774787,3.906722526,3.994957872
71,710,4.004774787,3.906722526,3.994957872
72,720,4.004774787,3.906722526,3.994957872
73,730,4.004774787,3.906722526,3.994957872
74,740,4.004774787,3.906722526,3.994957872
75,750,4.004774787,3.906722526,3.994957872
76,760,4.004774787,3.906722526,3.994957872
77,770,4.004774787,3.906722526,3.994957872
78,780,4.004774787,3.906722526,3.994957872
79,790,4.004774787,3.906722526,3.994957872
80,800,4.004774787,3.906722526,3.994957872
81,810,4.004774787,3.906722526,3.994957872
82,820,4.004774787,3.906722526,3.994957872
83,830,4.004774787,3.906722526,3.994957872
84,840,4.004774787,3.906722526,3.994957872
85,850,4.004774787,3.906722526,3.994957872
86,860,4.004774787,3.906722526,3.994957872
87,870,4.004774787,3.906722526,3.994957872
88,880,4.004774787,3.906722526,3.994957872
89,890,4.004774787,3.906722526,3.994957872
90,900,4.004775241,3.906722969,3.994959845
91,910,4.004775241,3.906722969,3.994959845
92,920,4.004775241,3.906722969,3.994959845
93,930,4.004775241,3.906722969,3.994959845
94,940,4.004775241,3.906722969,3.994959845
95,950,4.004775241,3.906722969,3.994959845
96,960,4.004775241,3.906722969,3.994959845
97,970,4.004775241,3.906722969,3.994959845
98,980,4.004775241,3.906722969,3.994959845
99,990,4.004775241,3.906722969,3.994959845
100,1000,4.004775241,3.906722969,3.994959845
101,1010,4.004775241,3.906722969,3.994959845
102,1020,4.004775241,3.906722969,3.994959845
103,1030,4.004775241,3.906722969,3.994959845
104,1040,4.004775241,3.906722969,3.994959845
105,1050,4.004775241,3.906722969,3.994959845
106,1060,4.004775241,3.906722969,3.994959845
107,1070,4.004775241,3.906722969,3.994959845
108,1080,4.004775241,3.906722969,3.994959845
109,1090,4.004775241,3.906722969,3.994959845
110,1100,4.004775241,3.906722969,3.994959845
111,1110,4.004775241,3.906722969,3.994959845
112,1120,4.004775241,3.906722969,3.994959845
113,1130,4.004775241,3.906722969,3.994959845
114,1140,4.004775241,3.906722969,3.994959845
115,1150,4.004775241,3.906722969,3.994959845
116,1160,4.004775241,3.906722969,3.994959845
117,1170,4.004775241,3.906722969,3.994959845
118,1180,4.004775241,3.906722969,3.994959845
119,1190,4.004775241,3.906722969,3.994959845
120,1200,4.004775241,3.906722969,3.994959845
121,1210,4.004775241,3.906722969,3.994959845
122,1220,4.004775241,3.906722969,3.994959845
123,1230,4.004775241,3.906722969,3.994959845
124,1240,4.004775241,3.906722969,3.994959845
125,1250,4.004775241,3.906722969,3.994959845
126,1260,4.004775241,3.906722969,3.994959845
127,1270,4.004775241,3.906722969,3.994959845
128,1280,4.004775241,3.906722969,3.994959845
129,1290,4.004775241,3.906722969,3.994959845
130,1300,4.004775241,3.906722969,3.994959845
131,1310,4.004775241,3.906722969,3.994959845
132,1320,4.004775241,3.906722969,3.994959845
133,1330,4.004775241,3.906722969,3.994959845
134,1340,4.004775241,3.906722969,3.994959845
135,1350,4.004775241,3.906722969,3.994959845
136,1360,4.004775241,3.906722969,3.994959845
137,1370,4.004775241,3.906722969,3.994959845
138,1380,4.004775241,3.906722969,3.994959845
139,1390,4.004775241,3.906722969,3.994959845
140,1400,4.004775241,3.906722969,3.994959845
141,1410,4.004775241,3.906722969,3.994959845
142,1420,4.004775241,3.906722969,3.994959845
143,1430,4.004775241,3.906722969,3.994959845
144,1440,4.004775241,3.906722969,3.994959845
145,1450,4.004775241,3.906722969,3.994959845
146,1460,4.004775241,3.906722969,3.994959845
147,1470,4.004775241,3.906722969,3.994959845
148,1480,4.004775241,3.906722969,3.994959845
149,1490,4.004775241,3.906722969,3.994959845
150,1500,4.004775241,3.906722969,3.994959845
151,1510,4.004775241,3.906722969,3.994959845
152,1520,4.004775241,3.906722969,3.994959845
153,1530,4.004775241,3.906722969,3.994959845
154,1540,4.004775241,3.906722969,3.994959845
155,1550,4.004775241,3.906722969,3.994959845
156,1560,4.004775241,3.906722969,3.994959845
