,time,modelA,modelB,modelA_scale,modelB_scale
0,0,0.003739692,0.003739692,4.064882628,4.064882628
1,10,0.003739692,0.003739728,4.064882628,4.064921345
2,20,0.003739692,0.003739763,4.064882628,4.064959927
3,30,0.003739692,0.003739799,4.064882628,4.064998374
4,40,0.003739692,0.003739834,4.064882628,4.065036687
5,50,0.003739692,0.003739869,4.064882628,4.065074867
6,60,0.003739692,0.003739904,4.064882628,4.065112913
7,70,0.003739692,0.003739939,4.064882628,4.065150827
8,80,0.003739692,0.003739974,4.064882628,4.065188608
9,90,0.003739692,0.003740008,4.064882628,4.065226258
10,100,0.003739692,0.003740043,4.064882628,4.065263777
11,110,0.003739692,0.003740077,4.064882628,4.065301164
12,120,0.003739692,0.003740111,4.064882628,4.065338422
13,130,0.003739692,0.003740146,4.064882628,4.065375549
14,140,0.003739692,0.00374018,4.064882628,4.065412548
15,150,0.003739692,0.003740213,4.064882628,4.065449417
16,160,0.003739692,0.003740247,4.064882628,4.065486158
17,170,0.003739692,0.003740281,4.064882628,4.065522771
18,180,0.003739692,0.003740315,4.064882628,4.065559257
19,190,0.003739692,0.003740348,4.064882628,4.065595616
20,200,0.003739692,0.003740381,4.064882628,4.065631848
21,210,0.003739692,0.003740415,4.064882628,4.065667954
22,220,0.003739692,0.003740448,4.064882628,4.065703934
23,230,0.003739692,0.003740481,4.064882628,4.065739789
24,240,0.003739692,0.003740513,4.064882628,4.06577552
25,250,0.003739692,0.003740546,4.064882628,4.065811126
26,260,0.003739692,0.003740579,4.064882628,4.065846608
27,270,0.003739692,0.003740611,4.064882628,4.065881968
28,280,0.003739692,0.003740644,4.064882628,4.065917204
29,290,0.003739692,0.003740676,4.064882628,4.065952318
30,300,0.003739692,0.003740708,4.064882628,4.065987309
31,310,0.003739692,0.00374074,4.064882628,4.066022179
32,320,0.003739692,0.003740772,4.064882628,4.066056928
33,330,0.003739692,0.003740804,4.064882628,4.066091557
34,340,0.003739692,0.003740836,4.064882628,4.066126065
35,350,0.003739692,0.003740868,4.064882628,4.066160453
36,360,0.003739692,0.003740899,4.064882628,4.066194722
37,370,0.003739692,0.003740931,4.064882628,4.066228872
38,380,0.003739692,0.003740962,4.064882628,4.066262903
39,390,0.003739692,0.003740993,4.064882628,4.066296816
40,400,0.003739692,0.003741024,4.064882628,4.066330612
41,410,0.003739692,0.003741055,4.064882628,4.06636429
42,420,0.003739692,0.003741086,4.064882628,4.066397852
43,430,0.003739692,0.003741117,4.064882628,4.066431297
44,440,0.003739692,0.003741147,4.064882628,4.066464626
45,450,0.003739692,0.003741178,4.064882628,4.06649784
46,460,0.003739692,0.003741208,4.064882628,4.066530938
47,470,0.003739692,0.003741239,4.064882628,4.066563922
48,480,0.003739692,0.003741269,4.064882628,4.066596791
49,490,0.003739692,0.003741299,4.064882628,4.066629547
50,500,0.003739692,0.003741329,4.064882628,4.066662189
51,510,0.003739692,0.003741359,4.064882628,4.066694718
52,520,0.003739692,0.003741389,4.064882628,4.066727134
53,530,0.003739692,0.003741419,4.064882628,4.066759438
54,540,0.003739692,0.003741448,4.064882628,4.06679163
55,550,0.003739692,0.003741478,4.064882628,4.066823711
56,560,0.003739692,0.003741507,4.064882628,4.066855681
57,570,0.003739692,0.003741537,4.064882628,4.06688754
58,580,0.003739692,0.003741566,4.064882628,4.066919288
59,590,0.003739692,0.003741595,4.064882628,4.066950927
60,600,0.003739692,0.003741624,4.064882628,4.066982457
61,610,0.003739692,0.003741653,4.064882628,4.067013877
62,620,0.003739692,0.003741682,4.064882628,4.067045189
63,630,0.003739692,0.00374171,4.064882628,4.067076392
64,640,0.003739692,0.003741739,4.064882628,4.067107488
65,650,0.003739692,0.003741767,4.064882628,4.067138476
66,660,0.003739692,0.003741796,4.064882628,4.067169356
67,670,0.003739692,0.003741824,4.064882628,4.06720013
68,680,0.003739692,0.003741852,4.064882628,4.067230798
69,690,0.003739692,0.00374188,4.064882628,4.06726136
70,700,0.003739692,0.003741908,4.064882628,4.067291816
71,710,0.003739692,0.003741936,4.064882628,4.067322167
72,720,0.003739692,0.003741964,4.064882628,4.067352413
73,730,0.003739692,0.003741992,4.064882628,4.067382555
74,740,0.003739692,0.00374202,4.064882628,4.067412592
75,750,0.003739692,0.003742047,4.064882628,4.067442526
76,760,0.003739692,0.003742075,4.064882628,4.067472357
77,770,0.003739692,0.003742102,4.064882628,4.067502084
78,780,0.003739692,0.003742129,4.064882628,4.067531709
79,790,0.003739692,0.003742156,4.064882628,4.067561232
80,800,0.003739692,0.003742183,4.064882628,4.067590653
81,810,0.003739692,0.00374221,4.064882628,4.067619972
82,820,0.003739692,0.003742237,4.064882628,4.06764919
83,830,0.003739692,0.003742264,4.064882628,4.067678308
84,840,0.003739692,0.003742291,4.064882628,4.067707325
85,850,0.003739692,0.003742317,4.064882628,4.067736242
86,860,0.003739692,0.003742344,4.064882628,4.067765059
87,870,0.003739692,0.00374237,4.064882628,4.067793777
88,880,0.003739692,0.003742397,4.064882628,4.067822395
89,890,0.003739692,0.003742423,4.064882628,4.067850916
90,900,0.003775072,0.003777873,4.103339453,4.106383204
91,910,0.003775072,0.003777913,4.103339453,4.106427299
92,920,0.003775072,0.003777954,4.103339453,4.106471238
93,930,0.003775072,0.003777994,4.103339453,4.106515023
94,940,0.003775072,0.003778034,4.103339453,4.106558653
95,950,0.003775072,0.003778074,4.103339453,4.10660213
96,960,0.003775072,0.003778114,4.103339453,4.106645454
97,970,0.003775072,0.003778154,4.103339453,4.106688625
98,980,0.003775072,0.003778193,4.103339453,4.106731645
99,990,0.003775072,0.003778233,4.103339453,4.106774513
100,1000,0.003775072,0.003778272,4.103339453,4.10681723
101,1010,0.003775072,0.003778311,4.103339453,4.106859797
102,1020,0.003775072,0.00377835,4.103339453,4.106902215
103,1030,0.003775072,0.003778389,4.103339453,4.106944483
104,1040,0.003775072,0.003778428,4.103339453,4.106986603
105,1050,0.003775072,0.003778466,4.103339453,4.107028575
106,1060,0.003775072,0.003778505,4.103339453,4.107070399
107,1070,0.003775072,0.003778543,4.103339453,4.107112077
108,1080,0.003775072,0.003778581,4.103339453,4.107153608
109,1090,0.003775072,0.003778619,4.103339453,4.107194993
110,1100,0.003775072,0.003778657,4.103339453,4.107236233
111,1110,0.003775072,0.003778695,4.103339453,4.107277328
112,1120,0.003775072,0.003778733,4.103339453,4.107318279
113,1130,0.003775072,0.00377877,4.103339453,4.107359086
