"time","hP_with_boiler.Pelec"
0,28
0.5,27.3584
1,27.2781
1,27.2781
1,27.2781
1.5,26.9671
2,26.6495
2,26.6495
2,26.6495
2.5,26.259
3,25.8695
3,25.8695
3,25.8695
3.5,25.632
4,25.4017
4,25.4017
4,25.4017
4.5,24.8803
5,24.3555
5,24.3555
5,24.3555
5.5,24.194
6,24.0462
6,24.0462
6,24.0462
6.5,25.197
7,26.4329
7,26.4329
7,26.4329
7.5,26.937
8,27.4173
8,27.4173
8,27.4173
8.5,27.5135
9,27.5943
9,27.5943
9,27.5943
9.5,27.2872
10,26.9671
10,26.9671
10,26.9671
10.5,26.4218
11,25.8752
11,25.8752
11,25.8752
11.5,25.632
12,25.4018
12,25.4018
12,25.4018
12.5,25.0262
13,24.6492
13,24.6492
13,24.6492
13.5,24.6359
14,24.6359
14,24.6359
14,24.6359
14.5,24.9263
15,25.2297
15,25.2297
15,25.2297
15.5,25.5356
16,25.8439
16,25.8439
16,25.8439
16.5,26.3054
17,26.7781
17,26.7781
17,26.7781
17.5,26.949
18,27.1086
18,27.1086
18,27.1086
18.5,27.1917
19,27.2719
19,27.2719
19,27.2719
19.5,27.4297
20,27.5911
20,27.5911
20,27.5911
20.5,27.7533
21,27.9161
21,27.9161
21,27.9161
21.5,28.001
22,28.0827
22,28.0827
22,28.0827
22.5,28.1647
23,28.2468
23,28.2468
23,28.2468
23.5,26.4688
24,24.6969
24,24.6969
24,24.6969
24.5,24.4916
25,24.3427
25,24.3427
25,24.3427
25.5,24.3373
26,24.3373
26,24.3373
26,24.3373
26.5,24.4091
27,24.4837
27,24.4837
27,24.4837
27.5,24.4863
28,24.4863
28,24.4863
28,24.4863
28.5,24.2708
29,24.0487
29,24.0487
29,24.0487
29.5,23.899
30,23.7524
30,23.7524
30,23.7524
30.5,23.818
31,23.8914
31,23.8914
31,23.8914
31.5,23.7523
32,23.6063
32,23.6063
32,23.6063
32.5,23.5311
33,23.4585
33,23.4585
33,23.4585
33.5,23.5261
34,23.5989
34,23.5989
34,23.5989
34.5,23.5311
35,23.4585
35,23.4585
35,23.4585
35.5,23.6668
36,23.8863
36,23.8863
36,23.8863
36.5,23.4707
37,23.0379
37,23.0379
37,23.0379
37.5,22.8853
38,22.7429
38,22.7429
38,22.7429
38.5,22.7382
39,22.7382
39,22.7382
39,22.7382
39.5,23.0832
40,23.4436
40,23.4436
40,23.4436
40.5,23.5964
41,23.7422
41,23.7422
41,23.7422
41.5,24.4602
42,25.2133
42,25.2133
42,25.2133
