"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
0,40,40,28
0.0221601,42,42,27.3584
0.0221601,42,42,27.2781
0.0237755,45.5278,47.1822,27.2781
0.0237755,45.5278,47.1822,27.2781
0.5,43.9087,44.9309,26.9671
1,43.8807,44.817,26.6495
1,43.8807,44.817,26.6495
1,43.8807,44.817,26.6495
1.5,43.7735,44.3846,26.259
2,43.6612,43.9337,25.8695
2,43.6612,43.9337,25.8695
2,43.6612,43.9337,25.8695
2.5,43.5225,43.3818,25.632
3,43.382,42.828,25.4017
3,43.382,42.828,25.4017
3,43.382,42.828,25.4017
3.5,43.2942,42.4847,24.8803
4,43.21,42.157,24.3555
4,43.21,42.157,24.3555
4,43.21,42.157,24.3555
4.5,43.0203,41.425,24.194
5,42.8237,40.6766,24.0462
5,42.8237,40.6766,24.0462
5,42.8237,40.6766,24.0462
5.5,42.7587,40.4332,25.197
6,42.7026,40.2223,26.4329
6,42.7026,40.2223,26.4329
6,42.7026,40.2223,26.4329
6.5,43.1205,41.8148,26.937
7,43.5699,43.57,27.4173
7,43.5699,43.57,27.4173
7,43.5699,43.57,27.4173
7.5,43.756,44.3131,27.5135
8,43.9245,44.9939,27.5943
8,43.9245,44.9939,27.5943
8,43.9245,44.9939,27.5943
8.5,43.9614,45.1448,27.2872
9,43.9895,45.2594,26.9671
9,43.9895,45.2594,26.9671
9,43.9895,45.2594,26.9671
9.5,43.8859,44.8387,26.4218
10,43.7735,44.3846,25.8752
10,43.7735,44.3846,25.8752
10,43.7735,44.3846,25.8752
10.5,43.5822,43.6187,25.632
11,43.3856,42.8416,25.4018
11,43.3856,42.8416,25.4018
11,43.3856,42.8416,25.4018
11.5,43.2942,42.4847,25.0262
12,43.21,42.157,24.6492
12,43.21,42.157,24.6492
12,43.21,42.157,24.6492
12.5,43.073,41.6277,24.6359
13,42.9326,41.0904,24.6359
13,42.9326,41.0904,24.6359
13,42.9326,41.0904,24.6359
13.5,42.9238,41.0583,24.9263
14,42.9238,41.0583,25.2297
14,42.9238,41.0583,25.2297
14,42.9238,41.0583,25.2297
14.5,43.0291,41.4614,25.5356
15,43.1415,41.8933,25.8439
15,43.1415,41.8933,25.8439
15,43.1415,41.8933,25.8439
15.5,43.2539,42.3285,26.3054
16,43.3662,42.7668,26.7781
16,43.3662,42.7668,26.7781
16,43.3662,42.7668,26.7781
16.5,43.5313,43.4169,26.949
17,43.6998,44.0877,27.1086
17,43.6998,44.0877,27.1086
17,43.6998,44.0877,27.1086
17.5,43.763,44.3416,27.1917
18,43.8192,44.5679,27.2719
18,43.8192,44.5679,27.2719
18,43.8192,44.5679,27.2719
18.5,43.849,44.6887,27.4297
19,43.8771,44.8023,27.5911
19,43.8771,44.8023,27.5911
19,43.8771,44.8023,27.5911
19.5,43.9316,45.0232,27.7533
20,43.9876,45.2519,27.9161
20,43.9876,45.2519,27.9161
20,43.9876,45.2519,27.9161
20.5,44.0439,45.4817,28.001
21,44.1001,45.7123,28.0827
21,44.1001,45.7123,28.0827
21,44.1001,45.7123,28.0827
21.5,44.13,45.8354,28.1647
22,44.158,45.9512,28.2468
22,44.158,45.9512,28.2468
22,44.158,45.9512,28.2468
22.5,44.1861,46.0673,26.4688
23,44.2142,46.1835,24.6969
23,44.2142,46.1835,24.6969
23,44.2142,46.1835,24.6969
23.5,42.7521,43.7309,24.4916
24,41.2284,41.2058,24.3427
24,41.2284,41.2058,24.3427
24,41.2284,41.2058,24.3427
24.5,41.0877,40.8576,24.3373
25,41.0338,40.6451,24.3373
25,41.0338,40.6451,24.3373
25,41.0338,40.6451,24.3373
25.5,41.0306,40.6324,24.4091
26,41.0306,40.6324,24.4837
26,41.0306,40.6324,24.4837
26,41.0306,40.6324,24.4837
26.5,41.0559,40.7323,24.4863
27,41.0827,40.8386,24.4863
27,41.0827,40.8386,24.4863
27,41.0827,40.8386,24.4863
27.5,41.0845,40.8449,24.2708
28,41.0845,40.8449,24.0487
28,41.0845,40.8449,24.0487
28,41.0845,40.8449,24.0487
28.5,41.0085,40.5453,23.899
29,40.9279,40.2285,23.7524
29,40.9279,40.2285,23.7524
29,40.9279,40.2285,23.7524
29.5,40.8723,40.0119,23.818
30,40.8189,39.8026,23.8914
30,40.8189,39.8026,23.8914
30,40.8189,39.8026,23.8914
30.5,40.8406,39.8888,23.7523
31,40.8675,39.9935,23.6063
31,40.8675,39.9935,23.6063
31,40.8675,39.9935,23.6063
31.5,40.8185,39.8025,23.5311
32,40.7647,39.594,23.4585
32,40.7647,39.594,23.4585
32,40.7647,39.594,23.4585
32.5,40.7361,39.4838,23.5261
33,40.7092,39.3801,23.5989
33,40.7092,39.3801,23.5989
33,40.7092,39.3801,23.5989
33.5,40.7329,39.4718,23.5311
34,40.7597,39.5757,23.4585
34,40.7597,39.5757,23.4585
34,40.7597,39.5757,23.4585
34.5,40.7361,39.4838,23.6668
35,40.7092,39.38,23.8863
35,40.7092,39.38,23.8863
35,40.7092,39.38,23.8863
35.5,40.7835,39.6677,23.4707
36,40.8642,39.9812,23.0379
36,40.8642,39.9812,23.0379
36,40.8642,39.9812,23.0379
36.5,40.7172,39.41,22.8853
37,40.556,38.7907,22.7429
37,40.556,38.7907,22.7429
37,40.556,38.7907,22.7429
37.5,40.4954,38.5625,22.7382
38,40.4416,38.3586,22.7382
38,40.4416,38.3586,22.7382
38,40.4416,38.3586,22.7382
38.5,40.4383,38.347,23.0832
39,40.4383,38.347,23.4436
39,40.4383,38.347,23.4436
39,40.4383,38.347,23.4436
39.5,40.5649,38.8287,23.5964
40,40.6995,39.344,23.7422
40,40.6995,39.344,23.7422
40,40.6995,39.344,23.7422
40.5,40.7582,39.5697,24.4602
41,40.812,39.7781,25.2133
41,40.812,39.7781,25.2133
41,40.812,39.7781,25.2133
41.5,41.0684,40.7818,25.9819
42,41.3375,41.8539,26.7662
42,41.3375,41.8539,26.7662
42,41.3375,41.8539,26.7662
42.5,41.6068,42.9465,27.0257
43,41.876,44.0595,27.2657
43,41.876,44.0595,27.2657
43,41.876,44.0595,27.2657
43.5,41.9681,44.4475,27.585
44,42.0488,44.7879,27.9097
44,42.0488,44.7879,27.9097
44,42.0488,44.7879,27.9097
44.5,42.1549,45.2373,28.4746
45,42.2626,45.6969,29.0569
45,42.2626,45.6969,29.0569
45,42.2626,45.6969,29.0569
45.5,42.4463,46.4876,29.6472
46,42.6347,47.1822,30
46,42.6347,47.1822,30
46,42.6347,47.2944,30.0698
46.5,42.8232,47.2944,30.0698
47,43.0116,47.2944,30.0698
47,43.0116,47.2944,30.0698
47,43.0116,47.3653,30.1321
47.5,41.8547,47.3653,30.1321
48,40.6349,47.3571,30.1321
48,40.6349,47.3571,30.1321
48,40.6349,47.3571,30.1937
48.5,40.5185,47.3653,30.1937
49,40.4676,47.3653,30.1937
49,40.4676,47.422,30.1937
49,40.4676,47.422,30.2552
49.5,40.5848,47.422,30.2552
50,40.712,47.422,30.2523
50,40.712,47.4727,30.2523
50,40.712,47.4727,30.2523
50.5,40.6952,47.4727,30.2552
51,40.6698,47.4727,30.2552
51,40.6698,47.5207,30.3095
51,40.6698,47.5207,30.3095
51.5,40.7164,47.5207,30.1057
52,40.7669,47.5207,29.9345
52,40.7669,47.5674,29.9345
52,40.7669,47.5674,29.9345
52.5,40.7701,47.5674,29.7636
53,40.7701,47.5674,29.5935
53,40.7701,47.6134,29.5935
53,40.7701,47.6134,29.5935
53.5,40.6741,47.6134,29.9952
54,40.5723,47.6134,30.3095
54,40.5723,47.6589,30.3095
54,40.5723,47.6589,30.3691
54.5,40.3745,47.6589,30.3691
55,40.1709,47.6589,30.3691
55,40.1709,47.7041,30.3691
55,40.1709,47.7041,30.4253
55.5,39.7032,47.7041,30.4253
56,39.2197,47.7041,30.4253
56,39.2197,47.7489,30.4253
56,39.2197,47.7489,30.4813
56.5,38.8801,47.7489,30.4813
57,38.5496,47.7489,30.476
57,38.5496,47.7935,30.476
57,38.5496,47.7935,30.476
57.5,38.0024,47.7935,30.3605
58,37.4425,47.7935,30.2742
58,37.4425,47.8379,30.2742
58,37.4425,47.8379,30.2742
58.5,37.6989,47.8379,30.4361
59,38.0043,47.8379,30.4813
59,38.0043,47.8819,30.4813
59,38.0043,47.8819,30.5267
59.5,37.4934,47.8819,30.5267
60,36.9335,47.8819,30.5267
60,36.9335,47.9257,30.5267
60,36.9335,47.9257,30.5721
60.5,36.6617,47.9257,30.5721
61,36.4072,47.9257,30.5721
61,36.4072,47.9693,30.5721
61,36.4072,47.9693,30.6174
61.5,36.5849,47.9693,30.6174
62,36.7884,47.9693,30.6096
62,36.7884,48.0125,30.6096
62,36.7884,48.0125,30.6096
62.5,36.4879,48.0125,30.6167
63,36.1571,48.0125,30.6167
63,36.1571,48.0555,30.6167
63,36.1571,48.0555,30.6167
63.5,35.9943,48.0555,30.285
64,35.8416,48.0555,29.9414
64,35.8416,48.0982,29.9414
64,35.8416,48.0982,29.9414
64.5,35.881,48.0982,29.2758
65,35.9318,48.0982,28.6067
65,35.9318,48.1406,28.6067
