# Renewables.ninja Solar PV (Point API) - 51.923, 4.014 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.92296880462416", "lon": "4.013705567656976", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "100000", "system_loss": "0", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,8.162
2019-01-01 01:00,2019-01-01 02:00,0,0,0,8.241
2019-01-01 02:00,2019-01-01 03:00,0,0,0,8.341
2019-01-01 03:00,2019-01-01 04:00,0,0,0,8.384
2019-01-01 04:00,2019-01-01 05:00,0,0,0,8.409
2019-01-01 05:00,2019-01-01 06:00,0,0,0,8.433
2019-01-01 06:00,2019-01-01 07:00,0,0,0,8.505
2019-01-01 07:00,2019-01-01 08:00,0,0,0,8.549
2019-01-01 08:00,2019-01-01 09:00,59.216,0.002,0.005,8.620
2019-01-01 09:00,2019-01-01 10:00,2667.719,0.010,0.029,8.750
2019-01-01 10:00,2019-01-01 11:00,14579.292,0.079,0.076,8.943
2019-01-01 11:00,2019-01-01 12:00,28312.784,0.193,0.094,9.038
2019-01-01 12:00,2019-01-01 13:00,51705.680,0.442,0.084,8.992
2019-01-01 13:00,2019-01-01 14:00,46491.055,0.402,0.068,8.737
2019-01-01 14:00,2019-01-01 15:00,25606.255,0.219,0.041,8.296
2019-01-01 15:00,2019-01-01 16:00,1743.024,0.024,0.005,7.654
2019-01-01 16:00,2019-01-01 17:00,0,0,0,7.397
2019-01-01 17:00,2019-01-01 18:00,0,0,0,7.332
2019-01-01 18:00,2019-01-01 19:00,0,0,0,7.228
2019-01-01 19:00,2019-01-01 20:00,0,0,0,7.069
2019-01-01 20:00,2019-01-01 21:00,0,0,0,6.799
2019-01-01 21:00,2019-01-01 22:00,0,0,0,6.504
2019-01-01 22:00,2019-01-01 23:00,0,0,0,6.412
2019-01-01 23:00,2019-01-02 00:00,0,0,0,6.374
2019-01-02 00:00,2019-01-02 01:00,0,0,0,6.408
2019-01-02 01:00,2019-01-02 02:00,0,0,0,6.517
2019-01-02 02:00,2019-01-02 03:00,0,0,0,6.611
2019-01-02 03:00,2019-01-02 04:00,0,0,0,6.587
2019-01-02 04:00,2019-01-02 05:00,0,0,0,6.498
2019-01-02 05:00,2019-01-02 06:00,0,0,0,6.419
2019-01-02 06:00,2019-01-02 07:00,0,0,0,6.328
2019-01-02 07:00,2019-01-02 08:00,0,0,0,6.299
2019-01-02 08:00,2019-01-02 09:00,7591.997,0.068,0.020,6.549
2019-01-02 09:00,2019-01-02 10:00,22565.211,0.173,0.057,7.056
2019-01-02 10:00,2019-01-02 11:00,35201.830,0.271,0.081,7.426
2019-01-02 11:00,2019-01-02 12:00,35303.829,0.263,0.091,7.602
2019-01-02 12:00,2019-01-02 13:00,42090.832,0.335,0.087,7.623
2019-01-02 13:00,2019-01-02 14:00,29860.623,0.230,0.070,7.472
2019-01-02 14:00,2019-01-02 15:00,15759.050,0.126,0.039,7.041
2019-01-02 15:00,2019-01-02 16:00,1005.097,0.016,0.005,6.105
2019-01-02 16:00,2019-01-02 17:00,0,0,0,5.799
2019-01-02 17:00,2019-01-02 18:00,0,0,0,5.682
2019-01-02 18:00,2019-01-02 19:00,0,0,0,5.474
2019-01-02 19:00,2019-01-02 20:00,0,0,0,5.296
2019-01-02 20:00,2019-01-02 21:00,0,0,0,5.213
2019-01-02 21:00,2019-01-02 22:00,0,0,0,5.165
2019-01-02 22:00,2019-01-02 23:00,0,0,0,5.219
2019-01-02 23:00,2019-01-03 00:00,0,0,0,5.260
2019-01-03 00:00,2019-01-03 01:00,0,0,0,5.245
2019-01-03 01:00,2019-01-03 02:00,0,0,0,5.213
2019-01-03 02:00,2019-01-03 03:00,0,0,0,5.189
2019-01-03 03:00,2019-01-03 04:00,0,0,0,5.131
2019-01-03 04:00,2019-01-03 05:00,0,0,0,5.085
2019-01-03 05:00,2019-01-03 06:00,0,0,0,5.061
2019-01-03 06:00,2019-01-03 07:00,0,0,0,4.945
2019-01-03 07:00,2019-01-03 08:00,0,0,0,4.866
2019-01-03 08:00,2019-01-03 09:00,3726.651,0.032,0.018,5.207
2019-01-03 09:00,2019-01-03 10:00,10101.021,0.060,0.051,5.956
2019-01-03 10:00,2019-01-03 11:00,14504.467,0.076,0.077,6.325
2019-01-03 11:00,2019-01-03 12:00,20139.696,0.112,0.094,6.544
2019-01-03 12:00,2019-01-03 13:00,17150.539,0.091,0.087,6.627
2019-01-03 13:00,2019-01-03 14:00,10795.906,0.055,0.063,6.590
2019-01-03 14:00,2019-01-03 15:00,5662.227,0.036,0.033,6.346
2019-01-03 15:00,2019-01-03 16:00,330.364,0.007,0.004,5.636
2019-01-03 16:00,2019-01-03 17:00,0,0,0,5.406
2019-01-03 17:00,2019-01-03 18:00,0,0,0,5.357
2019-01-03 18:00,2019-01-03 19:00,0,0,0,5.302
2019-01-03 19:00,2019-01-03 20:00,0,0,0,5.252
2019-01-03 20:00,2019-01-03 21:00,0,0,0,5.183
