# Renewables.ninja Wind (Point API) - 51.959, 3.966 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "51.95898264646689", "lon": "3.9657287114691524", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "100000", "height": "90", "turbine": "Siemens SWT 3.6 130", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,78707.067,9.993
2019-01-01 01:00,2019-01-01 02:00,80756.094,10.219
2019-01-01 02:00,2019-01-01 03:00,82324.932,10.398
2019-01-01 03:00,2019-01-01 04:00,84366.028,10.673
2019-01-01 04:00,2019-01-01 05:00,87180.865,11.083
2019-01-01 05:00,2019-01-01 06:00,88264.576,11.272
2019-01-01 06:00,2019-01-01 07:00,89280.565,11.459
2019-01-01 07:00,2019-01-01 08:00,88660.606,11.342
2019-01-01 08:00,2019-01-01 09:00,86418.613,10.971
2019-01-01 09:00,2019-01-01 10:00,83451.598,10.551
2019-01-01 10:00,2019-01-01 11:00,82373.083,10.412
2019-01-01 11:00,2019-01-01 12:00,81778.284,10.333
2019-01-01 12:00,2019-01-01 13:00,83140.510,10.510
2019-01-01 13:00,2019-01-01 14:00,83752.153,10.588
2019-01-01 14:00,2019-01-01 15:00,85038.310,10.758
2019-01-01 15:00,2019-01-01 16:00,88756.039,11.351
2019-01-01 16:00,2019-01-01 17:00,92618.392,12.199
2019-01-01 17:00,2019-01-01 18:00,95440.270,13.082
2019-01-01 18:00,2019-01-01 19:00,96210.389,13.415
2019-01-01 19:00,2019-01-01 20:00,96106.826,13.364
2019-01-01 20:00,2019-01-01 21:00,95799.689,13.233
2019-01-01 21:00,2019-01-01 22:00,95065.413,12.948
2019-01-01 22:00,2019-01-01 23:00,94552.404,12.766
2019-01-01 23:00,2019-01-02 00:00,94176.776,12.644
2019-01-02 00:00,2019-01-02 01:00,94549.927,12.770
2019-01-02 01:00,2019-01-02 02:00,94486.263,12.739
2019-01-02 02:00,2019-01-02 03:00,94353.453,12.705
2019-01-02 03:00,2019-01-02 04:00,93497.548,12.442
2019-01-02 04:00,2019-01-02 05:00,92796.048,12.247
2019-01-02 05:00,2019-01-02 06:00,92109.733,12.071
2019-01-02 06:00,2019-01-02 07:00,90611.179,11.727
2019-01-02 07:00,2019-01-02 08:00,90293.717,11.659
2019-01-02 08:00,2019-01-02 09:00,89296.841,11.462
2019-01-02 09:00,2019-01-02 10:00,87011.203,11.064
2019-01-02 10:00,2019-01-02 11:00,83829.242,10.595
2019-01-02 11:00,2019-01-02 12:00,82675.519,10.451
2019-01-02 12:00,2019-01-02 13:00,80414.548,10.171
2019-01-02 13:00,2019-01-02 14:00,75499.987,9.664
2019-01-02 14:00,2019-01-02 15:00,71203.900,9.277
2019-01-02 15:00,2019-01-02 16:00,70432.897,9.211
2019-01-02 16:00,2019-01-02 17:00,69803.686,9.149
2019-01-02 17:00,2019-01-02 18:00,64678.628,8.739
2019-01-02 18:00,2019-01-02 19:00,57883.017,8.244
2019-01-02 19:00,2019-01-02 20:00,52309.178,7.862
2019-01-02 20:00,2019-01-02 21:00,49599.661,7.675
2019-01-02 21:00,2019-01-02 22:00,49648.551,7.683
2019-01-02 22:00,2019-01-02 23:00,51224.518,7.787
2019-01-02 23:00,2019-01-03 00:00,52448.332,7.867
2019-01-03 00:00,2019-01-03 01:00,51819.198,7.825
2019-01-03 01:00,2019-01-03 02:00,49945.043,7.703
2019-01-03 02:00,2019-01-03 03:00,48657.938,7.613
2019-01-03 03:00,2019-01-03 04:00,49599.614,7.675
2019-01-03 04:00,2019-01-03 05:00,51741.000,7.823
2019-01-03 05:00,2019-01-03 06:00,52986.054,7.909
2019-01-03 06:00,2019-01-03 07:00,51706.784,7.821
2019-01-03 07:00,2019-01-03 08:00,50867.622,7.758
2019-01-03 08:00,2019-01-03 09:00,49667.062,7.684
2019-01-03 09:00,2019-01-03 10:00,46375.946,7.463
2019-01-03 10:00,2019-01-03 11:00,40854.479,7.080
2019-01-03 11:00,2019-01-03 12:00,39829.700,7.013
2019-01-03 12:00,2019-01-03 13:00,39681.985,7.005
2019-01-03 13:00,2019-01-03 14:00,38349.764,6.914
2019-01-03 14:00,2019-01-03 15:00,38807.278,6.941
2019-01-03 15:00,2019-01-03 16:00,43030.747,7.234
2019-01-03 16:00,2019-01-03 17:00,46500.615,7.471
2019-01-03 17:00,2019-01-03 18:00,47646.450,7.548
2019-01-03 18:00,2019-01-03 19:00,47227.512,7.520
2019-01-03 19:00,2019-01-03 20:00,41351.959,7.117
2019-01-03 20:00,2019-01-03 21:00,34392.460,6.641
2019-01-03 21:00,2019-01-03 22:00,35216.198,6.695
2019-01-03 22:00,2019-01-03 23:00,40177.149,7.044
2019-01-03 23:00,2019-01-04 00:00,38970.161,6.956
2019-01-04 00:00,2019-01-04 01:00,35170.708,6.688
2019-01-04 01:00,2019-01-04 02:00,31041.166,6.399
2019-01-04 02:00,2019-01-04 03:00,32746.057,6.523
2019-01-04 03:00,2019-01-04 04:00,36212.261,6.765
2019-01-04 04:00,2019-01-04 05:00,42556.616,7.205
2019-01-04 05:00,2019-01-04 06:00,53437.243,7.941
2019-01-04 06:00,2019-01-04 07:00,62918.429,8.615
2019-01-04 07:00,2019-01-04 08:00,67316.461,8.955
2019-01-04 08:00,2019-01-04 09:00,67884.447,8.997
2019-01-04 09:00,2019-01-04 10:00,67009.246,8.928
2019-01-04 10:00,2019-01-04 11:00,66258.302,8.871
2019-01-04 11:00,2019-01-04 12:00,67990.842,9.004
2019-01-04 12:00,2019-01-04 13:00,68624.145,9.055
2019-01-04 13:00,2019-01-04 14:00,69368.719,9.122
2019-01-04 14:00,2019-01-04 15:00,69514.843,9.134
2019-01-04 15:00,2019-01-04 16:00,70070.963,9.175
2019-01-04 16:00,2019-01-04 17:00,71423.303,9.296
2019-01-04 17:00,2019-01-04 18:00,73391.070,9.463
2019-01-04 18:00,2019-01-04 19:00,74093.234,9.535
2019-01-04 19:00,2019-01-04 20:00,71473.888,9.300
2019-01-04 20:00,2019-01-04 21:00,67280.622,8.952
2019-01-04 21:00,2019-01-04 22:00,67595.701,8.977
2019-01-04 22:00,2019-01-04 23:00,71129.637,9.270
2019-01-04 23:00,2019-01-05 00:00,74307.567,9.555
2019-01-05 00:00,2019-01-05 01:00,76046.259,9.710
2019-01-05 01:00,2019-01-05 02:00,78310.515,9.944
2019-01-05 02:00,2019-01-05 03:00,80588.931,10.192
2019-01-05 03:00,2019-01-05 04:00,82448.865,10.416
2019-01-05 04:00,2019-01-05 05:00,83909.279,10.602
2019-01-05 05:00,2019-01-05 06:00,85258.622,10.798
2019-01-05 06:00,2019-01-05 07:00,85552.025,10.836
2019-01-05 07:00,2019-01-05 08:00,85113.169,10.777
2019-01-05 08:00,2019-01-05 09:00,85229.321,10.794
2019-01-05 09:00,2019-01-05 10:00,84277.512,10.654
2019-01-05 10:00,2019-01-05 11:00,82534.505,10.432
2019-01-05 11:00,2019-01-05 12:00,80798.638,10.225
2019-01-05 12:00,2019-01-05 13:00,76994.185,9.815
2019-01-05 13:00,2019-01-05 14:00,75839.891,9.692
2019-01-05 14:00,2019-01-05 15:00,76111.970,9.727
2019-01-05 15:00,2019-01-05 16:00,77368.174,9.853
2019-01-05 16:00,2019-01-05 17:00,76914.026,9.807
2019-01-05 17:00,2019-01-05 18:00,76082.067,9.724
2019-01-05 18:00,2019-01-05 19:00,74307.352,9.555
2019-01-05 19:00,2019-01-05 20:00,73477.593,9.478
2019-01-05 20:00,2019-01-05 21:00,73908.322,9.509
2019-01-05 21:00,2019-01-05 22:00,73652.041,9.487
2019-01-05 22:00,2019-01-05 23:00,73392.900,9.460
2019-01-05 23:00,2019-01-06 00:00,71823.713,9.331
2019-01-06 00:00,2019-01-06 01:00,70068.882,9.178
2019-01-06 01:00,2019-01-06 02:00,67527.411,8.971
2019-01-06 02:00,2019-01-06 03:00,64274.429,8.709
2019-01-06 03:00,2019-01-06 04:00,60760.692,8.456
2019-01-06 04:00,2019-01-06 05:00,56091.967,8.117
2019-01-06 05:00,2019-01-06 06:00,51682.977,7.821
2019-01-06 06:00,2019-01-06 07:00,47047.465,7.504
2019-01-06 07:00,2019-01-06 08:00,42479.100,7.197
2019-01-06 08:00,2019-01-06 09:00,38520.648,6.929
2019-01-06 09:00,2019-01-06 10:00,33547.985,6.576
2019-01-06 10:00,2019-01-06 11:00,26740.518,6.071
2019-01-06 11:00,2019-01-06 12:00,22040.357,5.685
2019-01-06 12:00,2019-01-06 13:00,19906.930,5.496
2019-01-06 13:00,2019-01-06 14:00,18544.160,5.369
2019-01-06 14:00,2019-01-06 15:00,19088.188,5.420
2019-01-06 15:00,2019-01-06 16:00,20999.573,5.594
2019-01-06 16:00,2019-01-06 17:00,22439.864,5.715
2019-01-06 17:00,2019-01-06 18:00,24835.863,5.920
2019-01-06 18:00,2019-01-06 19:00,26965.343,6.085
2019-01-06 19:00,2019-01-06 20:00,24732.914,5.911
2019-01-06 20:00,2019-01-06 21:00,19021.450,5.414
2019-01-06 21:00,2019-01-06 22:00,15074.446,5.020
2019-01-06 22:00,2019-01-06 23:00,10958.438,4.530
2019-01-06 23:00,2019-01-07 00:00,8557.460,4.207
2019-01-07 00:00,2019-01-07 01:00,10549.817,4.486
2019-01-07 01:00,2019-01-07 02:00,14192.592,4.924
2019-01-07 02:00,2019-01-07 03:00,18455.416,5.360
2019-01-07 03:00,2019-01-07 04:00,24169.901,5.865
2019-01-07 04:00,2019-01-07 05:00,31561.598,6.434
2019-01-07 05:00,2019-01-07 06:00,40406.722,7.059
2019-01-07 06:00,2019-01-07 07:00,49450.634,7.660
2019-01-07 07:00,2019-01-07 08:00,56899.382,8.181
2019-01-07 08:00,2019-01-07 09:00,61525.741,8.506
2019-01-07 09:00,2019-01-07 10:00,65869.188,8.830
2019-01-07 10:00,2019-01-07 11:00,72067.615,9.352
2019-01-07 11:00,2019-01-07 12:00,80544.555,10.187
2019-01-07 12:00,2019-01-07 13:00,82806.928,10.468
2019-01-07 13:00,2019-01-07 14:00,84570.157,10.701
2019-01-07 14:00,2019-01-07 15:00,88576.526,11.324
2019-01-07 15:00,2019-01-07 16:00,92360.564,12.134
2019-01-07 16:00,2019-01-07 17:00,94144.780,12.638
2019-01-07 17:00,2019-01-07 18:00,93910.023,12.565
2019-01-07 18:00,2019-01-07 19:00,95578.488,13.143
2019-01-07 19:00,2019-01-07 20:00,97865.587,14.361
2019-01-07 20:00,2019-01-07 21:00,98208.372,14.636
2019-01-07 21:00,2019-01-07 22:00,98653.164,15.073
2019-01-07 22:00,2019-01-07 23:00,98928.297,15.433
2019-01-07 23:00,2019-01-08 00:00,98937.545,15.447
2019-01-08 00:00,2019-01-08 01:00,98882.744,15.367
2019-01-08 01:00,2019-01-08 02:00,98922.576,15.417
2019-01-08 02:00,2019-01-08 03:00,99075.081,15.673
2019-01-08 03:00,2019-01-08 04:00,99272.992,16.124
2019-01-08 04:00,2019-01-08 05:00,99361.448,16.492
2019-01-08 05:00,2019-01-08 06:00,99385.054,16.761
2019-01-08 06:00,2019-01-08 07:00,99384.600,16.796
2019-01-08 07:00,2019-01-08 08:00,99384.547,16.768
2019-01-08 08:00,2019-01-08 09:00,99384.684,16.756
2019-01-08 09:00,2019-01-08 10:00,99384.051,16.851
