# Renewables.ninja Solar PV (Point API) - 51.924, 4.002 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.92426743666088", "lon": "4.00157621296226", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "135000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,8.182
2019-01-01 01:00,2019-01-01 02:00,0,0,0,8.260
2019-01-01 02:00,2019-01-01 03:00,0,0,0,8.359
2019-01-01 03:00,2019-01-01 04:00,0,0,0,8.401
2019-01-01 04:00,2019-01-01 05:00,0,0,0,8.424
2019-01-01 05:00,2019-01-01 06:00,0,0,0,8.446
2019-01-01 06:00,2019-01-01 07:00,0,0,0,8.517
2019-01-01 07:00,2019-01-01 08:00,0,0,0,8.559
2019-01-01 08:00,2019-01-01 09:00,129.913,0.001,0.007,8.629
2019-01-01 09:00,2019-01-01 10:00,3858.194,0.006,0.038,8.758
2019-01-01 10:00,2019-01-01 11:00,17348.072,0.057,0.096,8.948
2019-01-01 11:00,2019-01-01 12:00,31280.039,0.149,0.113,9.039
2019-01-01 12:00,2019-01-01 13:00,51436.524,0.333,0.094,8.992
2019-01-01 13:00,2019-01-01 14:00,42441.297,0.275,0.077,8.739
2019-01-01 14:00,2019-01-01 15:00,20128.602,0.122,0.051,8.305
2019-01-01 15:00,2019-01-01 16:00,891.798,0.010,0.007,7.674
2019-01-01 16:00,2019-01-01 17:00,0,0,0,7.424
2019-01-01 17:00,2019-01-01 18:00,0,0,0,7.359
2019-01-01 18:00,2019-01-01 19:00,0,0,0,7.253
2019-01-01 19:00,2019-01-01 20:00,0,0,0,7.092
2019-01-01 20:00,2019-01-01 21:00,0,0,0,6.823
2019-01-01 21:00,2019-01-01 22:00,0,0,0,6.532
