# Renewables.ninja Weather (Point API) - 51.924, 4.002 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Amsterdam, temperature in ºC, radiation_surface in W/m², radiation_toa in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2", "radiation_toa": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "51.92426743666088", "lon": "4.00157621296226", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": true, "var_cldtot": false}}
time,local_time,temperature,radiation_surface,radiation_toa
2019-01-01 00:00,2019-01-01 01:00,8.182,0,0
2019-01-01 01:00,2019-01-01 02:00,8.260,0,0
2019-01-01 02:00,2019-01-01 03:00,8.359,0,0
2019-01-01 03:00,2019-01-01 04:00,8.401,0,0
2019-01-01 04:00,2019-01-01 05:00,8.424,0,0
2019-01-01 05:00,2019-01-01 06:00,8.446,0,0
2019-01-01 06:00,2019-01-01 07:00,8.517,0,0
2019-01-01 07:00,2019-01-01 08:00,8.559,0,0.581
2019-01-01 08:00,2019-01-01 09:00,8.629,7.244,93.549
2019-01-01 09:00,2019-01-01 10:00,8.758,42.347,230.009
2019-01-01 10:00,2019-01-01 11:00,8.948,119.792,321.205
2019-01-01 11:00,2019-01-01 12:00,9.039,169.706,360.981
2019-01-01 12:00,2019-01-01 13:00,8.992,208.517,346.556
2019-01-01 13:00,2019-01-01 14:00,8.739,163.087,278.912
2019-01-01 14:00,2019-01-01 15:00,8.305,81.694,162.702
2019-01-01 15:00,2019-01-01 16:00,7.674,8.391,24.987
2019-01-01 16:00,2019-01-01 17:00,7.424,0,0
2019-01-01 17:00,2019-01-01 18:00,7.359,0,0
2019-01-01 18:00,2019-01-01 19:00,7.253,0,0
2019-01-01 19:00,2019-01-01 20:00,7.092,0,0
2019-01-01 20:00,2019-01-01 21:00,6.823,0,0
2019-01-01 21:00,2019-01-01 22:00,6.532,0,0
2019-01-01 22:00,2019-01-01 23:00,6.445,0,0
2019-01-01 23:00,2019-01-02 00:00,6.410,0,0
2019-01-02 00:00,2019-01-02 01:00,6.444,0,0
2019-01-02 01:00,2019-01-02 02:00,6.552,0,0
2019-01-02 02:00,2019-01-02 03:00,6.645,0,0
2019-01-02 03:00,2019-01-02 04:00,6.621,0,0
2019-01-02 04:00,2019-01-02 05:00,6.534,0,0
2019-01-02 05:00,2019-01-02 06:00,6.460,0,0
2019-01-02 06:00,2019-01-02 07:00,6.374,0,0
2019-01-02 07:00,2019-01-02 08:00,6.346,0.121,0.712
2019-01-02 08:00,2019-01-02 09:00,6.589,32.576,95.299
2019-01-02 09:00,2019-01-02 10:00,7.083,102.825,231.853
2019-01-02 10:00,2019-01-02 11:00,7.442,163.214,323.080
2019-01-02 11:00,2019-01-02 12:00,7.613,180.279,362.875
2019-01-02 12:00,2019-01-02 13:00,7.633,189.003,348.431
