# Renewables.ninja Wind (Point API) - 51.965, 3.966 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "51.96508977042754", "lon": "3.9664257749195726", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "108000", "height": "80", "turbine": "Siemens SWT 3.6 107", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,68453.093,9.883
2019-01-01 01:00,2019-01-01 02:00,71336.551,10.109
2019-01-01 02:00,2019-01-01 03:00,73475.083,10.285
2019-01-01 03:00,2019-01-01 04:00,76671.423,10.558
2019-01-01 04:00,2019-01-01 05:00,81094.820,10.967
2019-01-01 05:00,2019-01-01 06:00,83028.706,11.157
2019-01-01 06:00,2019-01-01 07:00,84770.336,11.342
2019-01-01 07:00,2019-01-01 08:00,83643.886,11.224
2019-01-01 08:00,2019-01-01 09:00,79990.416,10.850
2019-01-01 09:00,2019-01-01 10:00,75241.598,10.432
2019-01-01 10:00,2019-01-01 11:00,73595.840,10.295
2019-01-01 11:00,2019-01-01 12:00,72697.374,10.220
2019-01-01 12:00,2019-01-01 13:00,74966.710,10.407
2019-01-01 13:00,2019-01-01 14:00,75898.200,10.485
2019-01-01 14:00,2019-01-01 15:00,77824.507,10.652
2019-01-01 15:00,2019-01-01 16:00,83831.676,11.237
2019-01-01 16:00,2019-01-01 17:00,90816.804,12.076
2019-01-01 17:00,2019-01-01 18:00,96409.971,12.955
2019-01-01 18:00,2019-01-01 19:00,98096.499,13.284
2019-01-01 19:00,2019-01-01 20:00,97862.536,13.233
2019-01-01 20:00,2019-01-01 21:00,97186.621,13.101
2019-01-01 21:00,2019-01-01 22:00,95625.504,12.814
2019-01-01 22:00,2019-01-01 23:00,94560.769,12.634
2019-01-01 23:00,2019-01-02 00:00,93855.773,12.514
2019-01-02 00:00,2019-01-02 01:00,94587.799,12.639
2019-01-02 01:00,2019-01-02 02:00,94415.917,12.606
2019-01-02 02:00,2019-01-02 03:00,94202.622,12.573
2019-01-02 03:00,2019-01-02 04:00,92497.187,12.314
2019-01-02 04:00,2019-01-02 05:00,91134.535,12.120
2019-01-02 05:00,2019-01-02 06:00,89873.383,11.945
2019-01-02 06:00,2019-01-02 07:00,87132.205,11.604
2019-01-02 07:00,2019-01-02 08:00,86529.775,11.535
2019-01-02 08:00,2019-01-02 09:00,84827.333,11.345
2019-01-02 09:00,2019-01-02 10:00,81050.310,10.962
2019-01-02 10:00,2019-01-02 11:00,76045.603,10.503
2019-01-02 11:00,2019-01-02 12:00,74378.258,10.355
2019-01-02 12:00,2019-01-02 13:00,71024.980,10.077
2019-01-02 13:00,2019-01-02 14:00,64474.070,9.576
2019-01-02 14:00,2019-01-02 15:00,59206.017,9.190
2019-01-02 15:00,2019-01-02 16:00,57939.188,9.109
2019-01-02 16:00,2019-01-02 17:00,57027.878,9.042
2019-01-02 17:00,2019-01-02 18:00,51224.151,8.637
2019-01-02 18:00,2019-01-02 19:00,44399.194,8.149
2019-01-02 19:00,2019-01-02 20:00,39164.663,7.775
2019-01-02 20:00,2019-01-02 21:00,36703.106,7.593
2019-01-02 21:00,2019-01-02 22:00,36882.619,7.604
2019-01-02 22:00,2019-01-02 23:00,38202.237,7.708
2019-01-02 23:00,2019-01-03 00:00,39310.414,7.788
2019-01-03 00:00,2019-01-03 01:00,38766.370,7.748
2019-01-03 01:00,2019-01-03 02:00,37151.221,7.627
2019-01-03 02:00,2019-01-03 03:00,35957.400,7.538
2019-01-03 03:00,2019-01-03 04:00,36846.063,7.599
2019-01-03 04:00,2019-01-03 05:00,38764.333,7.744
2019-01-03 05:00,2019-01-03 06:00,39966.801,7.829
2019-01-03 06:00,2019-01-03 07:00,38762.960,7.742
2019-01-03 07:00,2019-01-03 08:00,37822.648,7.680
2019-01-03 08:00,2019-01-03 09:00,36884.962,7.608
2019-01-03 09:00,2019-01-03 10:00,34254.432,7.400
2019-01-03 10:00,2019-01-03 11:00,29548.062,7.033
2019-01-03 11:00,2019-01-03 12:00,28786.288,6.967
2019-01-03 12:00,2019-01-03 13:00,28704.938,6.957
2019-01-03 13:00,2019-01-03 14:00,27599.287,6.865
2019-01-03 14:00,2019-01-03 15:00,27802.954,6.883
2019-01-03 15:00,2019-01-03 16:00,31124.309,7.161
2019-01-03 16:00,2019-01-03 17:00,34168.652,7.393
2019-01-03 17:00,2019-01-03 18:00,35030.154,7.469
2019-01-03 18:00,2019-01-03 19:00,34773.014,7.440
2019-01-03 19:00,2019-01-03 20:00,29645.453,7.041
2019-01-03 20:00,2019-01-03 21:00,24324.186,6.574
2019-01-03 21:00,2019-01-03 22:00,24903.439,6.631
2019-01-03 22:00,2019-01-03 23:00,28824.129,6.973
2019-01-03 23:00,2019-01-04 00:00,27805.552,6.883
2019-01-04 00:00,2019-01-04 01:00,24881.773,6.623
2019-01-04 01:00,2019-01-04 02:00,21807.111,6.340
